ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,FILA,FILA,NUMARVORECONTROLE,NUMARVORECONTROLE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,3,3,9,9,18.4,18.75,0,0,16.4,18.4,0.18702109,0.210028093,19.99463927,SEED,17
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,4,4,1,1,22.15,24.45,0,0,17.2,19.8,0.275568004,0.366799719,19.99463927,SEED,18
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,4,4,1,1,24.45,24.9,0,0,19.8,20.2,0.366799719,0.391617304,19.99463927,SEED,18
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,4,4,3,3,23.25,24.5,16,19.1,16,19.1,0.286438976,0.359013855,19.99463927,SEED,19
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,4,4,3,3,24.5,25,19.1,20,19.1,20,0.359013855,0.391160255,19.99463927,SEED,19
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,4,4,5,5,22.9,24.3,0,19.6,17.4,19.6,0.295218795,0.360086755,19.99463927,SEED,20
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,4,4,5,5,24.3,24.75,19.6,20,19.6,20,0.360086755,0.38398751,19.99463927,SEED,20
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,4,4,8,8,21.8,23.4,0,0,17.2,19.6,0.266617666,0.334795212,19.99463927,SEED,21
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,4,4,8,8,23.4,23.65,0,0,19.6,20,0.334795212,0.352639702,19.99463927,SEED,21
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,4,4,10,10,22.3,23.95,0,0,17.3,19.7,0.279446773,0.351384772,19.99463927,SEED,22
