Year	InvYear	TR	TRA1	R1	R2	R3	R4	R5	R6	R7	R8	R9	OR	HMIN	HMAX	HMEAN	HMODE	HSD	HVAR	HCV	HIQ	HSKW	HKUR	HAAD	HMADIAN	HMADODE	HL1	HL2	HL3	HL4	HLCV	HLSKW	HLKUR	HP01	HP05	HP10	HP20	HP25	HP30	HP40	HP50	HP60	HP70	HP75	HP80	HP90	HP95	HP99	CRR	HSQ	HCUB	PFRA2	PARA2	ARA2FR	FRA2	ARA2	PFRAM	PFRAMO	PARAM	PARAMO	ARAMTFR	ARAMOTFR	FRAM	FRAMO	ARAM	ARAMO	TFR	TAR	TRF	TRA1F	R1A1	HMINF	HMAXF	HMEANF	HMODEF	HSDF	HVARF	HCVF	HIQF	HSKWF	HKURF	HAADF	HMADIANF	HMADODEF	HL1F	HL2F	HL3F	HL4F	HLCVF	HLSKWF	HLKURF	HP01F	HP05F	HP10F	HP20F	HP25F	HP30F	HP40F	HP50F	HP60F	HP70F	HP75F	HP80F	HP90F	HP95F	HP99F	CRRF	HSQF	HCUBF	PFRA2F	PARA2F	ARA2FRF	FRA2F	ARA2F	PFRAMF	PFRAMOF	PARAMF	PARAMOF	ARAMTFRF	ARAMOTFRF	FRAMF	FRAMOF	ARAMF	ARAMOF	TFRF	TARF	Volume	BasalArea	Diameter	Height	Dominant	Site	Trainning
8	0.125	2880	1757.7	1610.1	144	3.6	0	0	0	0	0	0	0	0.918	28.674	23.364	26.028	5.958	39.456	0.234	2.565	-2.079	6.849	4.005	1.134	1.071	23.364	2.583	-1.341	0.846	0.099	-0.468	0.297	1.539	7.182	14.76	22.905	23.931	24.39	25.011	25.587	25.983	26.316	26.496	26.685	27.171	27.594	28.206	0.729	24.111	24.525	73.251	54.252	79.569	1598.4	1736.1	61.461	30.564	43.281	21.096	63.477	30.933	1341	666.9	1385.1	675	1963.8	2880	2880	1610.1	1610.1	0.927	28.674	24.093	26.028	5.049	28.341	0.189	2.241	-2.502	9.567	3.105	1.017	0.981	24.093	2.079	-1.08	0.783	0.081	-0.468	0.342	2.745	12.006	19.08	23.841	24.345	24.696	25.263	25.74	26.064	26.406	26.586	26.757	27.216	27.621	28.224	0.747	24.615	24.921	73.251	54.252	79.569	1598.4	1736.1	57.411	30.564	40.194	21.096	58.941	30.933	1252.8	666.9	1286.1	675	1963.8	2880	324.945	27.945	13.95	23.4	26.46	25.677	0.9
8	0.125	1805.4	1503	1327.5	172.8	2.7	0	0	0	0	0	0	0	0.927	165.681	23.526	27.072	7.155	56.907	0.27	7.092	3.195	87.084	4.761	2.808	2.394	23.526	3.258	-0.963	0.603	0.126	-0.261	0.171	1.116	10.566	15.426	19.548	20.745	22.122	23.562	25.677	26.775	27.459	27.828	28.179	28.98	29.511	30.456	0.126	24.588	26.181	79.893	73.359	89.838	1308.6	1471.5	53.847	32.472	45.09	26.784	55.224	32.805	882	531.9	904.5	537.3	1474.2	1805.4	1805.4	1327.5	1327.5	0.927	165.681	24.417	27.072	6.66	49.293	0.243	5.661	4.788	126.828	4.149	2.385	2.007	24.417	2.844	-0.855	0.612	0.108	-0.27	0.198	1.368	13.68	17.676	21.042	22.32	23.103	25.029	26.28	27.081	27.702	27.981	28.323	29.07	29.61	30.474	0.126	25.308	26.865	79.893	73.359	89.838	1308.6	1471.5	50.985	32.472	42.444	26.784	51.975	32.805	835.2	531.9	851.4	537.3	1474.2	1805.4	294.984	25.803	12.51	20.7	26.28	27.531	0.9
8	0.125	4283.1	3103.2	2684.7	400.5	18	0	0	0	0	0	0	0	0.936	26.874	21.51	24.399	5.454	33.03	0.225	2.934	-1.809	5.616	3.816	1.35	1.287	21.51	2.493	-1.17	0.693	0.108	-0.423	0.252	2.178	8.343	12.051	20.646	21.717	22.266	22.932	23.454	23.931	24.435	24.651	24.894	25.434	25.803	26.334	0.711	22.194	22.599	82.143	64.719	94.617	2673.9	3079.8	69.12	28.836	49.662	19.899	72.612	29.088	2250	938.7	2363.4	946.8	2929.5	4283.1	4283.1	2684.7	2684.7	0.936	26.874	22.509	24.399	4.383	21.366	0.171	2.304	-2.403	9.108	2.682	1.143	1.107	22.509	1.863	-0.873	0.657	0.072	-0.423	0.315	4.446	11.466	18.477	22.041	22.5	22.797	23.292	23.724	24.174	24.606	24.795	25.047	25.524	25.857	26.361	0.747	22.932	23.193	82.143	64.719	94.617	2673.9	3079.8	61.605	28.836	43.722	19.899	63.927	29.088	2005.2	938.7	2080.8	946.8	2929.5	4283.1	266.364	26.289	13.23	20.43	23.85	24.039	0.9
8	0.125	2340.9	1284.3	1195.2	88.2	0.9	0	0	0	0	0	0	0	0.909	31.959	24.408	27.522	7.056	55.386	0.261	3.789	-2.07	6.714	4.698	1.539	1.251	24.408	3.078	-1.539	0.981	0.117	-0.45	0.288	1.125	2.322	16.893	23.112	24.327	25.11	26.514	26.964	27.45	27.891	28.116	28.404	29.007	29.511	30.492	0.684	25.407	25.902	61.434	47.574	65.583	1159.2	1237.5	49.455	26.037	36.711	18.963	50.607	26.136	933.3	491.4	954.9	493.2	1698.3	2340.9	2340.9	1195.2	1195.2	0.909	31.959	25.092	27.522	6.237	43.191	0.225	3.348	-2.403	8.883	3.933	1.341	1.161	25.092	2.628	-1.314	0.936	0.09	-0.45	0.324	1.26	9.675	19.053	23.967	24.876	25.911	26.676	27.09	27.558	27.972	28.224	28.494	29.052	29.574	30.798	0.702	25.857	26.244	61.434	47.574	65.583	1159.2	1237.5	46.692	26.037	34.605	18.963	47.691	26.136	881.1	491.4	900	493.2	1698.3	2340.9	310.995	25.2	14.13	23.76	28.44	27.495	0.9
8	0.125	6214.5	4805.1	4168.8	619.2	17.1	0	0	0	0	0	0	0	0.918	32.085	23.31	27.63	6.642	49.059	0.261	8.109	-1.341	4.356	5.148	2.997	2.367	23.31	3.42	-1.125	0.504	0.135	-0.297	0.135	1.314	8.298	13.698	19.017	19.971	21.384	24.129	25.749	26.928	27.756	28.08	28.413	29.151	29.736	30.744	0.648	24.237	24.831	78.453	68.49	90	4122.9	4729.5	55.899	28.827	43.992	22.158	57.798	29.115	2937.6	1514.7	3037.5	1530	4729.5	6214.5	6214.5	4168.8	4168.8	0.927	32.085	24.363	27.639	5.859	38.196	0.216	6.21	-1.62	5.778	4.365	2.313	1.935	24.363	2.925	-1.035	0.549	0.108	-0.324	0.171	1.728	11.673	17.316	20.241	22.077	23.418	25.263	26.46	27.369	27.981	28.287	28.611	29.259	29.817	30.816	0.675	25.065	25.515	78.453	68.49	90	4122.9	4729.5	52.407	28.809	41.004	22.149	53.883	29.097	2754	1513.8	2831.4	1529.1	4729.5	6214.5	309.087	23.427	11.7	20.34	26.91	27.72	0.9
8	0.125	2484	2262.6	1879.2	364.5	18.9	0	0	0	0	0	0	0	0.918	30.276	23.922	26.55	5.337	31.698	0.198	5.283	-2.034	8.19	3.753	2.169	1.845	23.922	2.547	-0.918	0.567	0.099	-0.324	0.198	1.251	13.698	18.567	21.222	21.978	22.806	24.624	25.722	26.442	26.973	27.252	27.549	28.323	28.809	29.637	0.702	24.516	24.876	87.354	80.838	104.013	1873.8	2231.1	65.115	40.194	52.371	31.662	67.383	40.743	1396.8	862.2	1445.4	873.9	1930.5	2484	2484	1879.2	1879.2	0.981	30.276	25.173	26.559	3.834	16.344	0.135	3.771	-2.331	12.141	2.655	1.557	1.494	25.173	1.836	-0.594	0.405	0.063	-0.288	0.198	9.279	18.72	20.871	22.86	23.733	24.633	25.605	26.298	26.784	27.252	27.495	27.801	28.467	28.899	29.7	0.747	25.47	25.677	87.354	80.838	104.013	1873.8	2231.1	56.556	40.068	45.126	31.563	58.068	40.617	1213.2	859.5	1245.6	871.2	1930.5	2484	296.523	24.444	13.68	23.49	27.18	26.865	0.9
8	0.125	2832.3	2212.2	1951.2	254.7	6.3	0	0	0	0	0	0	0	0.945	29.7	23.535	26.046	5.517	33.84	0.207	5.472	-1.908	6.984	4.023	1.467	1.368	23.535	2.61	-1.107	0.603	0.099	-0.387	0.207	1.305	12.114	16.605	20.232	21.357	23.562	25.119	25.794	26.217	26.622	26.838	27.063	27.693	28.125	28.863	0.711	24.174	24.57	81.9	69.381	92.241	1938.6	2183.4	63.423	40.419	49.275	30.6	65.511	40.68	1501.2	956.7	1550.7	963	2130.3	2832.3	2832.3	1951.2	1951.2	0.945	29.7	24.444	26.046	4.545	22.959	0.171	2.934	-2.313	9.999	3.105	1.197	1.188	24.444	2.061	-0.891	0.576	0.072	-0.387	0.252	2.799	16.011	18.954	21.933	24.03	24.813	25.578	26.019	26.388	26.766	26.964	27.189	27.792	28.197	28.926	0.738	24.867	25.137	81.9	69.381	92.241	1938.6	2183.4	60.228	40.419	46.386	30.6	61.677	40.68	1425.6	956.7	1459.8	963	2130.3	2832.3	327.852	26.847	13.59	23.67	27.18	26.217	0.9
8	0.125	2530.8	1898.1	1744.2	151.2	2.7	0	0	0	0	0	0	0	0.9	30.978	24.858	27.162	5.94	39.195	0.216	4.428	-2.025	7.587	4.212	1.656	1.548	24.858	2.763	-1.179	0.693	0.099	-0.387	0.225	1.233	14.031	17.874	20.943	23.922	25.308	26.397	27.009	27.558	28.107	28.359	28.665	29.313	29.871	30.393	0.72	25.56	25.974	79.389	66.123	85.968	1717.2	1859.4	61.497	40.86	48.168	31.779	62.622	41.319	1330.2	883.8	1354.5	893.7	1946.7	2530.8	2530.8	1744.2	1744.2	0.9	30.978	25.488	27.162	5.337	31.68	0.189	3.258	-2.313	9.576	3.573	1.413	1.431	25.488	2.394	-1.053	0.702	0.081	-0.396	0.261	1.35	15.039	19.008	23.913	25.209	26.028	26.667	27.198	27.711	28.215	28.467	28.737	29.385	29.925	30.42	0.738	26.037	26.37	79.389	66.123	85.968	1717.2	1859.4	59.877	40.86	46.854	31.779	60.912	41.319	1295.1	883.8	1317.6	893.7	1946.7	2530.8	398.403	27.576	14.58	28.62	29.88	27.819	0.9
4.6	0.217391304	6727.5	4844.7	4246.2	576.9	21.6	0	0	0	0	0	0	0	0.927	23.085	18.954	20.268	2.862	9.072	0.135	2.133	-2.385	11.106	1.872	1.008	0.918	18.954	1.314	-0.495	0.369	0.063	-0.333	0.252	6.453	12.861	16.011	17.928	18.45	18.792	19.359	19.737	20.07	20.412	20.583	20.781	21.195	21.546	22.167	0.729	19.17	19.314	83.835	64.665	95.472	4244.4	4833.9	62.82	32.391	43.758	22.239	64.602	32.832	3180.6	1639.8	3270.6	1662.3	4556.7	6727.5	6727.5	4246.2	4246.2	1.341	23.085	19.44	19.629	2.205	5.4	0.099	1.737	-2.61	14.22	1.413	0.846	0.936	19.44	1.017	-0.324	0.288	0.045	-0.288	0.252	10.575	15.687	17.334	18.594	18.945	19.215	19.62	19.926	20.232	20.529	20.691	20.862	21.258	21.6	22.194	0.747	19.566	19.665	83.835	64.665	95.472	4244.4	4833.9	54.234	49.95	37.449	34.425	55.287	50.823	2745.9	2529	2799	2573.1	4556.7	6727.5	202.914	22.131	11.61	18	21.15	23.607	0.9
4.6	0.217391304	3251.7	2219.4	2036.7	179.1	3.6	0	0	0	0	0	0	0	0.918	23.436	19.746	20.583	4.221	19.782	0.189	1.494	-3.141	13.239	2.187	0.747	0.792	19.746	1.521	-0.81	0.702	0.072	-0.477	0.414	1.188	8.928	18.198	19.719	19.989	20.169	20.484	20.772	21.033	21.33	21.483	21.663	22.059	22.464	22.959	0.756	20.187	20.403	79.191	59.733	84.699	2017.8	2158.2	68.031	49.023	48.852	34.776	69.264	49.311	1733.4	1249.2	1764.9	1256.4	2293.2	3251.7	3251.7	2036.7	2036.7	0.918	23.436	20.421	20.583	2.88	9.216	0.126	1.368	-4.536	28.53	1.323	0.684	0.729	20.421	0.99	-0.405	0.414	0.045	-0.369	0.378	1.854	18.045	19.386	20.016	20.187	20.349	20.61	20.871	21.114	21.411	21.555	21.726	22.104	22.491	22.968	0.783	20.619	20.727	79.191	59.733	84.699	2017.8	2158.2	53.901	49.023	38.34	34.776	54.36	49.311	1373.4	1249.2	1385.1	1256.4	2293.2	3251.7	236.115	23.364	12.96	20.07	21.33	24.579	0.9
