parcela,comum,cientifico,familia,dap,hc,ht,vertical,luminosidade
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
