base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,15.5,16,0.5,1,,,,,,,15,c015,,726107.923,9683380.209
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,13.5,13.8,0.3,1,,,,,,,15,c015,,726107.2543,9683378.903
Tapajos_A01_2015_2016,jutai pororoca,Dialium guianense,Fabaceae,FALSE,FALSE,,16,16.7,0.7,1,,,,,,,15,c015,Intermediate,726107.4188,9683374.534
Tapajos_A01_2015_2016,taruma,Vitex triflora,Lamiaceae,FALSE,FALSE,,26.6,27,0.4,1,,,,,,,25,c025,,726113.7427,9683373.783
Tapajos_A01_2015_2016,casca doce,Coussarea brevicaulis,Rubiaceae,FALSE,FALSE,,11.7,11.7,0,1,,,,,,,15,c015,,726112.2761,9683371.663
Tapajos_A01_2015_2016,jutai pororoca,Dialium guianense,Fabaceae,FALSE,EXPLORADAS,,22.7,,,1,22.29,16.21,,,,,25,c025,Intermediate,726247.3136,9682928.594
Tapajos_A01_2015_2016,tento,Ormosia grossa,Fabaceae,FALSE,EXPLORADAS,,24.7,,,1,22.94,14.24,,,,,25,c025,,726265.7814,9682943.452
Tapajos_A01_2015_2016,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,EXPLORADAS,,23.5,,,1,23.76,16.57,,,,,25,c025,Shade-tolerant,726248.1955,9682931.485
Tapajos_A01_2015_2016,inga,Inga marginata,Fabaceae,FALSE,EXPLORADAS,,17,,,1,21.42,15.76,,,,,15,c015,,726266.5856,9682942.58
Tapajos_A01_2015_2016,gema de ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,EXPLORADAS,,10.4,,,1,14.04,9.13,,,,,15,c015,,726249.7841,9682929.992
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,11.4,,,1,,,,,,,15,c015,,726253.078,9682931.857
Tapajos_A01_2015_2016,louro preto,Nectandra cuspidata,Lauraceae,FALSE,EXPLORADAS,,50.6,,,1,37.65,22.88,,,,,55,c055,Intermediate,726266.2942,9682944.821
