base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Cauaxi_PA,matamata,Eschweilera amazonica,Lecythidaceae,FALSE,FALSE,,36.5,36.9,0.2,2,28.6,19.43,,,S,1,35,c035,,778112.7127,9586846.308
Cauaxi_PA,matamata,Eschweilera amazonica,Lecythidaceae,FALSE,FALSE,,22,22.4,0.2,2,19.12,11.02,,,S,2,25,c025,,778069.3338,9586839.901
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,13,13,0,2,15.63,9.44,,,S,3,15,c015,Shade-tolerant,778051.8223,9586837.944
Cauaxi_PA,guajara branco,Pouteria sp,Sapotaceae,FALSE,FALSE,,70,71.6,0.8,2,50.97,30.63,,,E,1,75,c075,Shade-tolerant,778040.8873,9586841.713
Cauaxi_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,10.6,11,0.2,2,15.24,9.04,,,S,1,15,c015,,778025.3023,9586835.134
Cauaxi_PA,cajuacu,Anacardium spruceanum,Anacardiaceae,FALSE,FALSE,,18.6,18.8,0.1,2,18.21,11.61,,,S,2,15,c015,,778006.3173,9586833.524
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,24.2,24.5,0.15,2,19.46,14.18,,,S,3,25,c025,,777996.8248,9586832.719
Cauaxi_PA,inga,Inga marginata,Fabaceae,FALSE,TRUE,,17,,,2,21.32,16.27,,,S,2,15,c015,,777981.7232,9586830.616
Cauaxi_PA,matamata,Eschweilera parviflora,Lecythidaceae,FALSE,FALSE,,33.1,33.9,0.4,2,27.87,13.08,,,S,2,35,c035,,777972.851,9586828.477
Cauaxi_PA,sucupira,Diplotropis sp,Fabaceae,FALSE,FALSE,,40.9,41.8,0.45,2,30.19,21.18,,,E,2,45,c045,,777982.2713,9586825.444
Cauaxi_PA,inhare,Helicostylis sp,Moraceae,FALSE,FALSE,,36.4,37.1,0.35,2,25.25,18.62,,,S,2,35,c035,,778010.1066,9586829.4
Cauaxi_PA,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,FALSE,FALSE,,44,14,0,2,4.05,2.58,,,S,2,45,c045,,778024.4711,9586833.939
Cauaxi_PA,breu vermelho,Protium hebetatum,Burseraceae,FALSE,FALSE,,26.8,27.5,0.35,2,28.77,21.84,,,C,2,25,c025,,778038.6774,9586835.453
Cauaxi_PA,caramuxi,Pouteria hispida,Sapotaceae,FALSE,FALSE,,46.6,47,0.2,2,25.24,16.36,,,C,2,45,c045,,778041.2568,9586833.707
Cauaxi_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,10,10,0,2,10.34,8.04,,,S,3,15,c015,Shade-tolerant,778071.7333,9586839.854
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,42,42,0,2,32.47,19.95,,,E,1,45,c045,Shade-tolerant,778101.2212,9586841.772
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,33.1,33.3,0.1,2,26.45,13.7,,,C,1,35,c035,,778129.9826,9586846.027
Cauaxi_PA,matamata,Eschweilera parviflora,Lecythidaceae,FALSE,FALSE,,12,12.2,0.1,2,8.99,7.24,,,S,1,15,c015,,778134.7288,9586846.43
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,11.7,11.8,0.05,2,19.39,15.67,,,S,1,15,c015,Shade-tolerant,778156.9761,9586848.888
Cauaxi_PA,abiu cutite,,,FALSE,FALSE,,17.9,18.2,0.15,2,21.82,16.95,,,C,2,15,c015,,778167.9601,9586848.91
Cauaxi_PA,macucu,Licania guianensis,Chrysobalanaceae,FALSE,FALSE,,26.4,27.4,0.5,2,32.05,19.79,,,S,2,25,c025,,778184.0086,9586850.168
Cauaxi_PA,caqui,Diospyros guianensis,Ebenaceae,FALSE,FALSE,,11.6,13.7,1.05,2,20.21,9.2,,,S,1,15,c015,Shade-tolerant,778195.892,9586851.592
Cauaxi_PA,pintadinho,Poeppigia procera,Fabaceae,FALSE,FALSE,,20.6,20.9,0.15,2,21.1,15.04,,,S,2,25,c025,,778213.0791,9586853.039
Cauaxi_PA,matamata,Eschweilera amazonica,Lecythidaceae,FALSE,FALSE,,36.5,37.5,0.5,2,17.99,12.37,,,S,2,35,c035,,778218.7845,9586850.878
Cauaxi_PA,breu manga,Tetragastris altissima,Burseraceae,FALSE,FALSE,,53,54.6,0.8,2,27.67,21.02,,,E,1,55,c055,Intermediate,778221.5357,9586851.093
Cauaxi_PA,sucupira,Diplotropis sp,Fabaceae,FALSE,FALSE,,41.2,42.6,0.7,2,35.53,25.88,,,E,1,45,c045,,778234.4007,9586854.709
Cauaxi_PA,seringarana,Micrandra minor,Euphorbiaceae,FALSE,FALSE,,46.9,47.8,0.45,2,35.57,26.22,,,C,1,45,c045,,778240.4135,9586851.569
Cauaxi_PA,matamata,Eschweilera amazonica,Lecythidaceae,FALSE,FALSE,,28.1,23.9,0,2,27.44,15.94,,,S,2,25,c025,,778250.4955,9586855.376
Cauaxi_PA,pintadinho,Poeppigia procera,Fabaceae,FALSE,FALSE,,39.1,39.9,0.4,2,25.88,18.02,,,S,2,35,c035,,778255.6424,9586856.662
Cauaxi_PA,tanibuca,Terminalia amazonia,Combretaceae,FALSE,FALSE,,35.4,35.4,0,2,18.18,12.66,,,S,2,35,c035,,778255.9053,9586852.77
Cauaxi_PA,macucu,Licania guianensis,Chrysobalanaceae,FALSE,FALSE,,10.9,11.4,0.25,2,15.11,10.47,,,S,2,15,c015,,778258.1504,9586856.731
Cauaxi_PA,tachi preto,Tachigali myrmecophila,Fabaceae,FALSE,FALSE,,60,83,11.5,2,52.5,36.15,,,E,1,65,c065,,778264.1535,9586857.136
Cauaxi_PA,parajuba,Manilkara bidentata,Sapotaceae,FALSE,FALSE,,52.8,53.7,0.45,2,24.43,16,,,C,2,55,c055,,778293.8573,9586856.336
Cauaxi_PA,timborana,Pseudopiptadenia suaveolens,Fabaceae,FALSE,FALSE,,48.4,48.6,0.1,2,17.87,10.41,,,C,1,45,c045,Intermediate,778337.4469,9586858.279
Cauaxi_PA,uxirana,Sacoglottis guianensis,Humiriaceae,FALSE,FALSE,,27.8,27.8,0,2,19.61,12.36,,,C,1,25,c025,,778354.2528,9586862.429
Cauaxi_PA,jutai,Hymenaea parvifolia,Fabaceae,FALSE,TRUE,,59.6,,,2,32.62,21.08,,,E,1,55,c055,,778361.3243,9586861.896
Cauaxi_PA,matamata,Eschweilera amazonica,Lecythidaceae,FALSE,FALSE,,22.4,22.9,0.25,2,22.21,15.18,,,S,2,25,c025,,778368.2599,9586863.375
Cauaxi_PA,ucurana,Sloanea guianensis,Elaeocarpaceae,FALSE,FALSE,,10.3,10.7,0.2,2,9.31,6.6,,,S,2,15,c015,,778387.7367,9586865.184
Cauaxi_PA,parajuba,Manilkara bidentata,Sapotaceae,FALSE,FALSE,,36.6,37.8,0.6,2,14.62,9.17,,,C,2,35,c035,,778396.775,9586865.293
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,36.3,37,0.35,2,26.12,13.53,,,C,2,35,c035,Shade-tolerant,778424.2756,9586867.352
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,14.9,14,0,2,12.41,8.67,,,S,3,15,c015,,778430.7856,9586867.691
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,27.7,27.7,0,2,20.58,13.47,,,C,1,25,c025,Shade-tolerant,778430.7918,9586867.599
Cauaxi_PA,guajara branco,Pouteria sp,Sapotaceae,FALSE,FALSE,,53.2,53.5,0.15,2,30.71,20.28,,,E,1,55,c055,Shade-tolerant,778433.8613,9586866.796
Cauaxi_PA,matamata,Eschweilera parviflora,Lecythidaceae,FALSE,FALSE,,11,11.6,0.3,2,10.59,7.04,,,E,2,15,c015,,778457.8056,9586869.424
Cauaxi_PA,tauari,Couratari stellata,Lecythidaceae,FALSE,FALSE,,40,41,0.5,2,29.83,23.32,,,C,1,45,c045,,778441.0903,9586878.811
Cauaxi_PA,tatapiririca,Tapirira guianensis,Anacardiaceae,FALSE,FALSE,,35.4,36.9,0.75,2,30.6,23.63,,,S,2,35,c035,,778435.5875,9586878.439
Cauaxi_PA,matamata,Eschweilera amazonica,Lecythidaceae,FALSE,FALSE,,38,39,0.5,2,28.91,17.19,,,C,1,35,c035,,778436.8815,9586859.283
Cauaxi_PA,copaiba,Copaifera reticulata,Fabaceae,FALSE,FALSE,,50.6,51.5,0.45,2,38,27.61,,,E,1,55,c055,,778421.0569,9586862.925
Cauaxi_PA,timborana,Pseudopiptadenia suaveolens,Fabaceae,FALSE,FALSE,,50,51.5,0.75,2,45.89,26.35,,,E,1,55,c055,Intermediate,778412.3839,9586857.408
Cauaxi_PA,axixa,Sterculia pruriens,Malvaceae,FALSE,FALSE,,55,58.3,1.65,2,34.79,26.06,,,E,1,55,c055,,778352.8535,9586853.386
