base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,17,15.9,0,3,,,,,,,15,c015,,721912.4709,9627210.891
Anambe_PA,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,FALSE,,11.1,11.4,0.1,3,,,,,,,15,c015,,721942.8564,9627215.69
Anambe_PA,inga-de-rosca,Abarema mataybifolia,Fabaceae,FALSE,FALSE,,13,13.1,0.03,3,,,,,,,15,c015,,721913.5668,9627209.762
Anambe_PA,mututi,Pterocarpus sp,Fabaceae,FALSE,TRUE,,19.2,,,3,,,,,,,15,c015,,721941.6564,9627212.729
Anambe_PA,lacrao,Vismia floribunda,Hypericaceae,FALSE,FALSE,,36.1,36.6,0.17,3,,,,,,,35,c035,,721912.478,9627210.527
Anambe_PA,caqui,Diospyros guianensis,Ebenaceae,FALSE,FALSE,,12.2,13.2,0.33,3,,,,,,,15,c015,Shade-tolerant,721939.3918,9627209.822
Anambe_PA,joao-mole,Neea oppositifolia,Nyctaginaceae,FALSE,FALSE,,25.9,25.7,0,3,,,,,,,25,c025,Shade-tolerant,721916.7946,9627209.278
Anambe_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,16.6,17.8,0.4,3,,,,,,,15,c015,,721944.7753,9627209.645
Anambe_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,12,26.3,4.77,3,,,,,,,15,c015,,721948.1432,9627212.37
Anambe_PA,envira-cunauaru,Annona ambotay,Annonaceae,FALSE,FALSE,,15,15.1,0.03,3,,,,,,,15,c015,Intermediate,721910.2994,9627211.682
Anambe_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,14.1,16.5,0.8,3,,,,,,,15,c015,,721950.6915,9627219.643
Anambe_PA,ucuuba,Virola michelii,Myristicaceae,FALSE,FALSE,,12.2,13.9,0.57,3,,,,,,,15,c015,,721913.5012,9627213.591
Anambe_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,12.7,12.8,0.03,3,,,,,,,15,c015,Pioneer,721951.6612,9627207.37
Anambe_PA,inga-de-rosca,Abarema mataybifolia,Fabaceae,FALSE,TRUE,,20.8,,,3,,,,,,,25,c025,,721919.9975,9627214.182
Anambe_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,10.4,13.2,0.93,3,,,,,,,15,c015,Pioneer,721951.6049,9627206.348
Anambe_PA,angelim rajado,Zygia racemosa,Fabaceae,FALSE,FALSE,,15.4,15.9,0.17,3,,,,,,,15,c015,,721918.9072,9627215.133
Anambe_PA,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,15.1,18.7,1.2,3,,,,,,,15,c015,,721951.5486,9627205.325
