parcela,arv,comum.nome,cientifico.nome,familia.nome,dap.2012,tipo,vert.2012,Luz.2012,Hcom.2012,Htot.2012,dap.2014,UTM.leste,UTM.norte
T01,59,matamata,Eschweilera amazonica,Lecythidaceae,22,O,S,2,11.02,19.12,22.4,778069.3338,9586839.901
T01,61,jatereu,Lecythis idatimon,Lecythidaceae,13,O,S,3,9.44,15.63,13,778051.8223,9586837.944
T01,63,guajara branco,Pouteria sp.,Sapotaceae,70,O,E,1,30.63,50.97,71.6,778040.8873,9586841.713
T01,65,capueiro,Rinorea guianensis,Violaceae,10.6,O,S,1,9.04,15.24,11,778025.3023,9586835.134
T01,66,cajuacu,Anacardium spruceanum,Anacardiaceae,18.6,O,S,2,11.61,18.21,18.8,778006.3173,9586833.524
T01,68,abiurana,Pouteria gongrijpii,Sapotaceae,24.2,O,S,3,14.18,19.46,24.5,777996.8248,9586832.719
T01,70,inga,Inga marginata,Fabaceae,17,O,S,2,16.27,21.32,17,777981.7232,9586830.616
T01,73,matamata,Eschweilera parviflora,Lecythidaceae,33.1,O,S,2,13.08,27.87,33.9,777972.851,9586828.477
T01,74,sucupira,Diplotropis sp.,Fabaceae,40.9,O,E,2,21.18,30.19,41.8,777982.2713,9586825.444
T01,77,morta,NA,NA,20.2,O,NA,NA,NA,10.7,20.2,778008.7589,9586833.079
T01,78,inhare,Helicostylis sp.,Moraceae,36.4,O,S,2,18.62,25.25,37.1,778010.1066,9586829.4
T01,80,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,44,O,S,2,2.58,4.05,14,778024.4711,9586833.939
T01,82,breu vermelho,Protium hebetatum,Burseraceae,26.8,O,C,2,21.84,28.77,27.5,778038.6774,9586835.453
T01,84,caramuxi,Pouteria hispida,Sapotaceae,46.6,O,C,2,16.36,25.24,47,778041.2568,9586833.707
T01,89,morta,NA,NA,35.6,O,NA,NA,NA,5.61,35.6,778064.4618,9586836.167
T01,90,acariquara,Minquartia guianensis,Olacaceae,10,O,S,3,8.04,10.34,10,778071.7333,9586839.854
T01,92,jatereu,Lecythis idatimon,Lecythidaceae,42,O,E,1,19.95,32.47,42,778101.2212,9586841.772
T01,94,casca seca,Licania canescens,Chrysobalanaceae,33.1,O,C,1,13.7,26.45,33.3,778129.9826,9586846.027
T01,95,matamata,Eschweilera parviflora,Lecythidaceae,12,O,S,1,7.24,8.99,12.2,778134.7288,9586846.43
T01,96,jatereu,Lecythis idatimon,Lecythidaceae,11.7,O,S,1,15.67,19.39,11.8,778156.9761,9586848.888
T01,98,abiu cutite,NA,NA,17.9,O,C,2,16.95,21.82,18.2,778167.9601,9586848.91
T01,105,macucu,Licania guianensis,Chrysobalanaceae,26.4,O,S,2,19.79,32.05,27.4,778184.0086,9586850.168
T01,106,caqui,Diospyros guianensis,Ebenaceae,11.6,O,S,1,9.2,20.21,13.7,778195.892,9586851.592
T01,107,pintadinho,Poeppigia procera,Fabaceae,20.6,O,S,2,15.04,21.1,20.9,778213.0791,9586853.039
T01,108,matamata,Eschweilera amazonica,Lecythidaceae,36.5,O,S,2,12.37,17.99,37.5,778218.7845,9586850.878
T01,109,breu manga,Tetragastris altissima,Burseraceae,53,O,E,1,21.02,27.67,54.6,778221.5357,9586851.093
T01,110,sucupira,Diplotropis sp.,Fabaceae,41.2,O,E,1,25.88,35.53,42.6,778234.4007,9586854.709
T01,113,seringarana,Micrandra minor,Euphorbiaceae,46.9,O,C,1,26.22,35.57,47.8,778240.4135,9586851.569
T01,115,matamata,Eschweilera amazonica,Lecythidaceae,28.1,O,S,2,15.94,27.44,23.9,778250.4955,9586855.376
T01,116,pintadinho,Poeppigia procera,Fabaceae,39.1,O,S,2,18.02,25.88,39.9,778255.6424,9586856.662
T01,117,tanibuca,Terminalia amazonia,Combretaceae,35.4,O,S,2,12.66,18.18,35.4,778255.9053,9586852.77
T01,118,macucu,Licania guianensis,Chrysobalanaceae,10.9,O,S,2,10.47,15.11,11.4,778258.1504,9586856.731
T01,119,tachi preto,Tachigali myrmecophila,Fabaceae,60,O,E,1,36.15,52.5,83,778264.1535,9586857.136
T01,120,parajuba,Manilkara bidentata,Sapotaceae,52.8,O,C,2,16,24.43,53.7,778293.8573,9586856.336
T01,123,timborana,Pseudopiptadenia suaveolens,Fabaceae,48.4,O,C,1,10.41,17.87,48.6,778337.4469,9586858.279
T01,126,uxirana,Sacoglottis guianensis,Humiriaceae,27.8,O,C,1,12.36,19.61,27.8,778354.2528,9586862.429
T01,129,jutai,Hymenaea parvifolia,Fabaceae,59.6,O,E,1,21.08,32.62,59.6,778361.3243,9586861.896
T01,131,matamata,Eschweilera amazonica,Lecythidaceae,22.4,O,S,2,15.18,22.21,22.9,778368.2599,9586863.375
T01,135,ucurana,Sloanea guianensis,Elaeocarpaceae,10.3,O,S,2,6.6,9.31,10.7,778387.7367,9586865.184
T01,136,parajuba,Manilkara bidentata,Sapotaceae,36.6,O,C,2,9.17,14.62,37.8,778396.775,9586865.293
T01,138,morta,NA,NA,36.6,O,NA,NA,NA,2.51,36.6,778403.7382,9586866.365
T01,142,jatereu,Lecythis idatimon,Lecythidaceae,36.3,O,C,2,13.53,26.12,37,778424.2756,9586867.352
T01,143,casca seca,Licania canescens,Chrysobalanaceae,14.9,O,S,3,8.67,12.41,14,778430.7856,9586867.691
T01,144,jatereu,Lecythis idatimon,Lecythidaceae,27.7,O,C,1,13.47,20.58,27.7,778430.7918,9586867.599
T01,145,guajara branco,Pouteria sp.,Sapotaceae,53.2,O,E,1,20.28,30.71,53.5,778433.8613,9586866.796
T01,147,mato,NA,NA,22.5,O,S,2,10.71,16.74,23.2,778448.7679,9586869.307
T01,148,matamata,Eschweilera parviflora,Lecythidaceae,11,O,E,2,7.04,10.59,11.6,778457.8056,9586869.424
T01,150,morta,NA,NA,71.2,O,NA,NA,NA,9.42,NA,778459.7465,9586870.449
T01,152,tauari,Couratari stellata,Lecythidaceae,40,O,C,1,23.32,29.83,41,778441.0903,9586878.811
T01,153,tatapiririca,Tapirira guianensis,Anacardiaceae,35.4,O,S,2,23.63,30.6,36.9,778435.5875,9586878.439
T01,154,matamata,Eschweilera amazonica,Lecythidaceae,38,O,C,1,17.19,28.91,39,778436.8815,9586859.283
T01,156,copaiba,Copaifera reticulata,Fabaceae,50.6,O,E,1,27.61,38,51.5,778421.0569,9586862.925
T01,157,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,O,E,1,26.35,45.89,51.5,778412.3839,9586857.408
T01,159,axixa,Sterculia pruriens,Malvaceae,55,O,E,1,26.06,34.79,58.3,778352.8535,9586853.386
T01,160,matamata branco,Eschweilera coriacea,Lecythidaceae,56,O,C,1,19.9,32.65,56.2,778337.7164,9586854.288
T01,161,parajuba,Manilkara bidentata,Sapotaceae,39,O,E,1,15.89,27.95,39.6,778325.6324,9586869.508
T01,162,breu barrote,Tetragastris panamensis,Burseraceae,41,O,S,2,17.42,30.84,41.2,778277.4836,9586853.226
T01,163,timborana,Pseudopiptadenia suaveolens,Fabaceae,40,O,E,1,28.26,39.02,40.3,778274.539,9586867.059
T01,164,abiurana,Pouteria gongrijpii,Sapotaceae,49.6,O,E,1,19.03,31.46,49.9,778268.8106,9586847.709
T01,165,matamata preto,Eschweilera ovata,Lecythidaceae,44.5,O,E,1,17.22,24.42,45.1,778262.6782,9586849.219
T01,167,tauari,Couratari stellata,Lecythidaceae,50,O,E,1,26.53,37.42,50.5,778234.6295,9586845.9
T01,168,matamata,Eschweilera parviflora,Lecythidaceae,55,O,C,1,19.2,28.16,56.5,778231.452,9586862.904
T01,169,uxirana,Sacoglottis guianensis,Humiriaceae,42.7,O,C,1,23.65,36.1,NA,778200.6045,9586844.438
T01,170,seringarana,Micrandra minor,Euphorbiaceae,38,O,C,2,23.16,31.97,39,778192.0436,9586844.771
T01,171,matamata preto,Eschweilera ovata,Lecythidaceae,35.5,O,C,2,19.01,26.08,35.6,778185.2387,9586846.244
T01,172,louro preto,Nectandra cuspidata,Lauraceae,49.8,O,C,1,22.11,37.04,51.4,778156.9642,9586858.038
T01,173,sucupira tento,Ormosia nobilis,Fabaceae,52.1,O,C,1,19.53,31.48,60.1,778143.915,9586854.643
T01,175,inhare,Helicostylis sp.,Moraceae,35.3,O,C,1,13.26,19.2,35.4,778132.812,9586855.478
T01,176,matamata preto,Eschweilera ovata,Lecythidaceae,35.3,O,C,1,9.93,18.11,36.6,778124.6644,9586855.54
T01,178,abiurana,Pouteria gongrijpii,Sapotaceae,48.5,O,C,1,15.04,26.54,49.7,778101.2936,9586850.126
T01,179,casca seca,Licania canescens,Chrysobalanaceae,46.4,O,E,1,13.95,20.39,46.9,778066.2493,9586846.412
T01,180,cajuacu,Anacardium spruceanum,Anacardiaceae,93.9,O,E,1,30.83,42.56,94.9,778060.7323,9586848.764
T01,181,parajuba,Manilkara bidentata,Sapotaceae,37,O,C,2,15.09,23.73,37,778052.253,9586842.917
T01,182,tachi preto,Tachigali myrmecophila,Fabaceae,50.5,O,E,1,26.23,37.25,NA,778038.414,9586842.456
T01,183,louro preto,Nectandra cuspidata,Lauraceae,41.3,O,S,2,14.75,24.36,41.2,778014.4741,9586828.857
T01,184,matamata branco,Eschweilera coriacea,Lecythidaceae,39.1,O,C,1,18.51,28.87,39.9,778013.3147,9586839.796
T01,185,muirapiranga,Brosimum rubescens,Moraceae,56,O,E,1,24.8,37.88,55.9,777991.6907,9586822.42
T01,186,matamata vermelho,Eschweilera coriacea,Lecythidaceae,43.5,O,C,2,22.66,30.86,44.1,777984.0138,9586840.633
T01,187,matamata branco,Eschweilera coriacea,Lecythidaceae,36.8,O,C,2,24.16,41.8,40.4,777981.6403,9586822.361
T01,188,jatereu,Lecythis idatimon,Lecythidaceae,54,O,C,2,25.23,46.18,54.1,777978.7989,9586822.06
T02,1,abiurana,Pouteria gongrijpii,Sapotaceae,24.5,O,S,2,13.18,22.99,24.6,779061.2644,9585320.211
T02,2,casca seca,Licania canescens,Chrysobalanaceae,72.5,O,C,1,19.63,33.58,73.2,779061.2755,9585326.528
T02,4,timborana,Pseudopiptadenia suaveolens,Fabaceae,10.3,O,S,2,4.77,9.34,11,779050.0429,9585320.864
T02,6,inga,Inga marginata,Fabaceae,10.6,O,S,2,6.4,10.59,10.6,779046.3378,9585321.547
T02,8,jatereu,Lecythis idatimon,Lecythidaceae,15.5,O,S,2,10.01,16.03,16,779035.6054,9585322.456
T02,11,maracatiara,Astronium graveolens,Anacardiaceae,23.9,O,C,1,14.6,15.84,24,779021.5975,9585323.522
T02,12,liana,NA,NA,22,L,NA,NA,NA,NA,24,779016.386,9585322.923
T02,13,parajuba,Manilkara bidentata,Sapotaceae,26.4,O,C,1,12.72,18.86,26.8,779014.1266,9585324.09
T02,14,inga,Inga marginata,Fabaceae,14.4,O,S,2,4.8,10.57,15.3,779013.1927,9585324.161
T02,16,louro,Ocotea canaliculata,Lauraceae,12.5,O,S,2,8.54,14.23,12.4,778967.3583,9585326.653
T02,17,breu branco,Protium paniculatum,Burseraceae,44.5,O,S,2,10.18,18.86,46.3,778959.3328,9585332.278
T02,18,tento,Ormosia grossa,Fabaceae,50,O,S,1,20.71,34.88,50.1,778953.1869,9585331.743
T02,19,macucu,Licania guianensis,Chrysobalanaceae,12.2,O,S,2,11.72,16.66,12.1,778939.3576,9585328.984
T02,20,guajara branco,Pouteria sp.,Sapotaceae,55.4,O,C,1,20.91,36.12,55.7,778933.9669,9585332.203
T02,22,casca seca,Licania canescens,Chrysobalanaceae,37.9,O,C,2,20.21,35.23,38,778926.7353,9585329.744
T02,23,muirapiranga,Brosimum rubescens,Moraceae,74.5,O,C,1,28.64,43.72,76.5,778923.3033,9585334.017
T02,24,abiurana,Pouteria gongrijpii,Sapotaceae,55.3,O,C,1,13.26,25.51,55.3,778922.2936,9585333.091
T02,25,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,10.9,O,C,1,4.8,10.14,10.2,778920.6804,9585330.405
T02,26,uxirana,Sacoglottis guianensis,Humiriaceae,22.8,O,S,2,11.44,20.45,23.2,778914.6704,9585331.657
T02,27,tento,Ormosia grossa,Fabaceae,17.4,O,S,2,11.24,13.34,17.4,778909.941,9585331.223
T02,29,piquia,Caryocar villosum,Caryocaraceae,88,O,E,1,22.01,35.15,88.3,778907.6063,9585331.4
T02,31,preciosa,Aniba canelilla,Lauraceae,10.3,O,S,2,5.79,11.39,10.8,778894.0957,9585332.829
T02,33,mapatirana,Pourouma villosa,Urticaceae,58.2,O,E,1,13.39,27.06,59.1,778880.9644,9585339.244
T02,35,abiurana,Pouteria gongrijpii,Sapotaceae,40.8,O,C,1,20.7,31.01,47.7,778855.7713,9585337.635
T02,36,casca seca,Licania canescens,Chrysobalanaceae,20.4,O,S,2,14.77,24.54,20.8,778854.6478,9585336.261
T02,37,abiurana,Pouteria gongrijpii,Sapotaceae,18.8,O,S,2,14.13,24.36,19.3,778836.1683,9585339.33
T02,38,capueiro,Rinorea guianensis,Violaceae,27.2,O,S,2,12.45,22.94,27.2,778832.2973,9585338.907
T02,41,coco-pau,Couepia robusta,Chrysobalanaceae,43.4,O,C,1,26.53,35.38,49.7,778822.1984,9585340.248
T02,42,matamata,Eschweilera amazonica,Lecythidaceae,35,O,C,1,16.82,30.76,36,778820.488,9585341.869
T02,43,abiurana,Pouteria gongrijpii,Sapotaceae,12.6,O,S,3,10.08,16,12.9,778818.201,9585340.739
T02,45,matamata,Eschweilera parviflora,Lecythidaceae,10.4,O,S,2,6.4,11.91,10.6,778817.8273,9585341.583
T02,46,jatereu,Lecythis idatimon,Lecythidaceae,15.8,O,S,2,9.63,14.28,15.8,778815.6633,9585341.454
T02,47,fava,Parkia sp.,Fabaceae,40.8,O,S,1,12.56,22.84,44,778791.8409,9585343.776
T02,49,casca seca,Licania canescens,Chrysobalanaceae,17.5,O,S,2,17.15,27.97,17.5,778783.611,9585344.787
T02,50,matamata,Eschweilera amazonica,Lecythidaceae,24,O,S,2,16.75,27.47,24.4,778779.3785,9585345.307
T02,51,morta,NA,NA,58.9,O,NA,NA,NA,5.27,58.9,778778.1071,9585350.501
T02,52,parajuba,Manilkara bidentata,Sapotaceae,39.8,O,S,2,19.95,28.26,40.6,778776.5812,9585345.853
T02,55,amapa amargoso,Brosimum guianense,Moraceae,48.6,O,E,1,20.24,30.26,51.2,778759.305,9585348.045
T02,56,manguerana,Tovomita sp.,Clusiaceae,10.6,O,S,2,4.79,8.31,10.7,778751.4609,9585348.13
T02,57,jatereu,Lecythis idatimon,Lecythidaceae,32.7,O,E,1,14.91,20.84,33.3,778741.2511,9585349.386
T02,58,breu barrote,Tetragastris panamensis,Burseraceae,17.1,O,S,2,6.92,13.23,17.2,778739.7804,9585349.404
T02,59,ingarana,Inga sp.,Fabaceae,34.5,O,S,1,8.35,20,34.7,778734.834,9585348.871
T02,60,matamata,Eschweilera amazonica,Lecythidaceae,11.3,O,S,1,6.66,14.72,11.4,778723.1685,9585350.345
T02,61,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,23.5,O,E,1,10.46,17.12,25.7,778716.8031,9585350.52
T02,62,parapara,Jacaranda copaia,Bignoniaceae,11.1,O,S,1,10.55,11.58,11.7,778708.0719,9585351.867
T02,64,cajuacu,Anacardium spruceanum,Anacardiaceae,20.8,O,S,2,11.1,15.98,21,778699.2892,9585352.523
T02,65,abiu cutite,NA,NA,21,O,S,2,8.33,18.05,21.5,778699.2227,9585351.634
T02,66,abiu cutite,NA,NA,42,O,C,1,14.22,21.94,42.5,778694.9581,9585353.657
T02,67,casca seca,Licania canescens,Chrysobalanaceae,10.4,O,S,2,7.14,12.09,10.4,778693.3676,9585352.071
T02,69,embauba,Cecropia ficifolia,Urticaceae,25.3,O,S,1,13.28,20.13,27.4,778684.5774,9585352.628
T02,72,breu branco,Protium paniculatum,Burseraceae,12.8,O,S,2,10.96,15.91,13.6,778669.4516,9585353.759
T02,74,tamanqueira,Zanthoxylum rhoifolium,Rutaceae,32,O,S,2,15.09,21.69,32.5,778655.3092,9585354.916
T02,75,breu branco,Protium paniculatum,Burseraceae,54.3,O,S,1,23.59,35.56,54.6,778653.1603,9585358.988
T02,77,macucu,Licania guianensis,Chrysobalanaceae,36.7,O,C,1,6.48,11.14,37.8,778620.1783,9585357.543
T02,78,jatereu,Lecythis idatimon,Lecythidaceae,28.8,O,S,2,12.24,18.14,28.7,778612.9259,9585358.979
T02,79,abiu cutite,NA,NA,47.2,O,S,2,14.51,21.53,48,778613.1203,9585361.58
T02,81,liana,NA,NA,18,L,NA,NA,NA,NA,18.5,778599.6779,9585358.975
T02,83,ucurana,Sloanea guianensis,Elaeocarpaceae,28.9,O,S,2,13.64,21.84,28.9,778589.5053,9585360.73
T02,84,fava-core,Parkia nitida,Fabaceae,88.3,O,E,1,12.43,23.56,89.2,778587.3645,9585364.91
T02,85,abiu cutite,NA,NA,26.5,O,S,2,10.89,16.97,26.8,778571.792,9585360.065
T02,87,abiurana,Pouteria gongrijpii,Sapotaceae,46,O,C,1,20.4,30.42,46.7,778578.3987,9585356.555
T02,90,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,42,O,C,1,21.12,31.48,41.9,778602.0206,9585357.496
T02,92,casca seca,Licania canescens,Chrysobalanaceae,36.8,O,C,2,22.14,39.35,37.2,778641.5204,9585354.243
T02,94,guajara branco,Pouteria sp.,Sapotaceae,50.2,O,S,2,13.32,19.84,51,778662.8849,9585351.242
T02,97,breu branco,Protium paniculatum,Burseraceae,15.7,O,S,2,11.16,18.88,16.5,778674.3235,9585353.294
T02,98,cupiuba,Goupia glabra,Goupiaceae,63.8,O,E,1,16.61,24.42,65,778694.1869,9585349.904
T02,99,morta,NA,NA,10.9,O,NA,NA,NA,5.23,10.8,778715.302,9585350.131
T02,100,inga,Inga marginata,Fabaceae,10.8,O,S,2,9.34,13.55,11.6,778746.5294,9585347.796
T02,102,sucupira,Diplotropis sp.,Fabaceae,51.4,O,E,1,25.18,30.97,51.3,778769.7785,9585343.752
T02,106,angelim rajado,Zygia racemosa,Fabaceae,31.7,O,S,1,14.97,21.71,34,778814.6495,9585340.974
T02,107,jatereu,Lecythis idatimon,Lecythidaceae,13.1,O,S,2,7.07,11.66,13.4,778816.7414,9585340.516
T02,109,capueiro,Rinorea guianensis,Violaceae,18.3,O,S,2,8.7,15.36,19.5,778824.2781,9585339.69
T02,110,abiu cutite,NA,NA,58.7,O,E,1,18.14,27.99,59.1,778827.7843,9585337.144
T02,111,inga,Inga marginata,Fabaceae,10,O,S,3,6.33,14,10.2,778830.6147,9585338.811
T02,112,capueiro,Rinorea guianensis,Violaceae,18.2,O,S,2,10.52,17.27,18.6,778833.8101,9585337.621
T02,113,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,65,O,E,1,29.07,39.82,66,778845.4267,9585331.148
T02,114,uxirana,Sacoglottis guianensis,Humiriaceae,28.7,O,C,2,16.7,27.83,29.4,778849.0942,9585335.743
T02,115,matamata,Eschweilera amazonica,Lecythidaceae,21,O,S,1,13.1,21.53,21,778850.0348,9585335.627
T02,116,macucu,Licania guianensis,Chrysobalanaceae,37,O,C,1,13.66,23,38,778850.5041,9585335.561
T02,117,morta,NA,NA,41.3,O,NA,NA,NA,31.44,41.3,778851.6554,9585335.219
T02,119,liana,NA,NA,10.6,L,NA,NA,NA,NA,10.8,778859.314,9585335.386
T02,120,pintadinho,Poeppigia procera,Fabaceae,37.7,O,C,2,22.25,25.64,38.2,778861.0854,9585334.261
T02,121,capueiro,Rinorea guianensis,Violaceae,17.5,O,C,2,13.24,21.2,18,778865.1925,9585334.664
T02,122,casca seca,Licania canescens,Chrysobalanaceae,38,O,S,2,11.44,17.6,38.2,778862.1304,9585331.111
T02,123,matamata,Eschweilera amazonica,Lecythidaceae,16.7,O,S,1,10.56,17.37,17.4,778874.3638,9585332.734
T02,125,freijo branco,Cordia scabrifolia,Boraginaceae,40.5,O,C,2,16.86,26.3,41.2,778880.7485,9585330.234
T02,127,morta,NA,NA,40.8,O,NA,NA,NA,18.74,40.7,778901.9652,9585331.328
T02,128,matamata,Eschweilera amazonica,Lecythidaceae,45,O,S,2,20.1,27.84,46,778907.7546,9585327.177
T02,130,matamata vermelho,Eschweilera coriacea,Lecythidaceae,56.8,O,C,1,22.68,38.02,57.1,778937.285,9585326.434
T02,131,jatereu,Lecythis idatimon,Lecythidaceae,11,O,S,2,9.98,15.29,11,778939.2672,9585327.796
T02,132,merauba,Mouriri collocarpa,Melastomataceae,25,O,S,2,16.7,27.78,25.3,778943.9365,9585327.441
T02,133,matamata,Eschweilera amazonica,Lecythidaceae,14,O,S,2,11.26,18,14,778945.8042,9585327.298
T02,136,tachi preto,Tachigali myrmecophila,Fabaceae,43.2,O,E,1,25.72,31.88,51.1,778966.1968,9585323.733
T02,137,joao-mole,Neea oppositifolia,Nyctaginaceae,52,O,E,1,29.19,36.96,52,778968.3797,9585321.561
T02,139,inhare,Helicostylis sp.,Moraceae,15.4,O,S,1,5.93,8.46,15.8,778991.0965,9585323.852
T02,140,envira preta,Guatteria schomburgkiana,Annonaceae,29.3,O,C,1,21.61,28.86,29.5,779014.443,9585322.076
T02,141,jatereu,Lecythis idatimon,Lecythidaceae,22.5,O,C,1,8.34,13.16,22.8,779015.3838,9585322.097
T02,142,matamata,Eschweilera parviflora,Lecythidaceae,20.4,O,S,2,23.17,33,20.9,779018.2537,9585322.781
T02,143,louro vermelho,Sextonia rubra,Lauraceae,79.4,O,E,1,33.52,43.94,80,779025.626,9585320.916
T02,144,breu barrote,Tetragastris panamensis,Burseraceae,10.2,O,S,1,12.61,16.82,11.3,779036.8557,9585320.371
T02,145,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,11,O,S,2,9.67,12.49,11.4,779041.0581,9585320.051
T02,146,mato,NA,NA,19,O,S,1,2.64,8.39,19.5,779042.9934,9585320.799
T02,149,parapara,Jacaranda copaia,Bignoniaceae,12,O,S,2,11.37,13.97,13.1,779056.0372,9585319.405
T02,151,araracanga,Aspidosperma spruceanum,Apocynaceae,54.5,O,C,2,26.78,37.79,55.5,779067.0304,9585328.096
T02,152,embauba,Cecropia ficifolia,Urticaceae,41,O,C,2,18.06,23.88,44,779055.2288,9585314.953
T02,153,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,50,O,C,2,20,38.36,50,779042.041,9585314.452
T02,154,embauba,Cecropia ficifolia,Urticaceae,39.9,O,C,2,21.87,29.2,41.9,779041.9272,9585312.957
T02,155,matamata preto,Eschweilera ovata,Lecythidaceae,37.4,O,C,2,14.95,24.84,38.1,779037.3717,9585314.808
T02,156,pau-jacare,Laetia procera,Salicaceae,53.4,O,C,2,23.17,36.22,54.6,779025.0764,9585332.211
T02,157,tachi preto,Tachigali myrmecophila,Fabaceae,75,O,C,2,28.21,44.04,75,779015.6334,9585313.032
T02,158,casca seca,Licania canescens,Chrysobalanaceae,43.1,O,C,2,27.69,40.7,48.6,779004.4271,9585313.884
T02,159,guajara branco,Pouteria sp.,Sapotaceae,52.1,O,C,2,24.8,36.89,54.5,778959.1348,9585317.33
T02,160,macaranduba,Manilkara huberi,Sapotaceae,35.8,O,C,2,24.63,35,36.5,778956.0119,9585319.494
