parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T05,186,matamata branco,Eschweilera coriacea,Lecythidaceae,39,37.5,15.59,30.61,C,2,20120131,42.5,42.5
T05,187,morta,NA,NA,47.9,47.5,NA,30.87,NA,NA,20120131,#N/A,#N/A
T05,188,abiu cramuri,NA,NA,36.6,37.5,15.16,25.35,C,2,20120131,36.7,37.5
T05,189,matamata preto,Eschweilera ovata,Lecythidaceae,40.2,42.5,17.17,28.36,C,2,20120131,41.6,42.5
T05,190,matamata preto,Eschweilera ovata,Lecythidaceae,37,37.5,14.15,26.6,C,2,20120131,37.7,37.5
T05,191,araracanga,Aspidosperma spruceanum,Apocynaceae,35,37.5,28.04,39.75,C,2,20120131,35.8,37.5
T05,192,jatereu,Lecythis idatimon,Lecythidaceae,36,37.5,26.17,33.18,C,2,20120131,36.2,37.5
T05,193,pau-de-macaco,Apeiba membranacea,Malvaceae,41.7,42.5,8.24,15.54,S,2,20120131,41.7,42.5
T05,194,maracatiara,Astronium graveolens,Anacardiaceae,40.4,42.5,34.77,41.04,C,2,20120131,42,42.5
T05,195,pau-de-macaco,Apeiba membranacea,Malvaceae,35.6,37.5,18.44,25.64,C,2,20120131,35.8,37.5
T05,196,breu vermelho,Protium hebetatum,Burseraceae,59.5,57.5,23.27,34.36,C,2,20120131,59.5,57.5
T05,197,matamata branco,Eschweilera coriacea,Lecythidaceae,46.8,47.5,15.87,28.98,C,2,20120131,47.5,47.5
T05,198,matamata preto,Eschweilera ovata,Lecythidaceae,35.4,37.5,23.16,31.44,C,2,20120131,36,37.5
T05,200,morta,NA,NA,38.3,37.5,NA,28.27,NA,NA,20120131,38,37.5
T06,3,parajuba,Manilkara bidentata,Sapotaceae,42.9,42.5,19.38,32.65,C,1,20120201,44.2,42.5
T06,7,jutai,Hymenaea parvifolia,Fabaceae,49.9,47.5,34.93,45.42,E,1,20120201,59.8,57.5
T06,8,tauari,Couratari stellata,Lecythidaceae,65,67.5,31.19,51.1,E,1,20120201,70,72.5
T06,10,abiurana,Pouteria gongrijpii,Sapotaceae,13.6,12.5,12.32,19.52,S,2,20120201,13.7,12.5
T06,12,abiurana,Pouteria gongrijpii,Sapotaceae,31.4,32.5,21.06,33.96,C,2,20120201,49.4,47.5
T06,13,iperana,Eperua bijuga,Fabaceae,35.3,37.5,16.25,25.66,S,1,20120201,35.9,37.5
T06,14,jatereu,Lecythis idatimon,Lecythidaceae,16.6,17.5,10.65,16.6,S,2,20120201,16.8,17.5
T06,15,matamata,Eschweilera parviflora,Lecythidaceae,60.2,62.5,21.21,37.26,C,2,20120201,60.8,62.5
T06,17,matamata,Eschweilera parviflora,Lecythidaceae,67,67.5,26.46,42.67,C,1,20120201,67.3,67.5
T06,22,matamata,Eschweilera amazonica,Lecythidaceae,15.5,17.5,13.01,21.71,S,2,20120201,15.7,17.5
T06,23,matamata,Eschweilera amazonica,Lecythidaceae,50.4,52.5,19.59,33.12,C,1,20120201,50.4,52.5
T06,25,matamata,Eschweilera parviflora,Lecythidaceae,36.5,37.5,19.56,27.18,S,2,20120201,36.9,37.5
T06,26,matamata,Eschweilera parviflora,Lecythidaceae,50,52.5,23.78,36.7,C,2,20120201,52,52.5
T06,27,breu branco,Protium paniculatum,Burseraceae,13.9,12.5,10.1,18.74,S,2,20120201,14.8,12.5
T06,28,matamata,Eschweilera parviflora,Lecythidaceae,47.1,47.5,16.42,37.95,C,2,20120201,47.9,47.5
T06,31,barrote,Tetragastris altissima,Burseraceae,31.7,32.5,16.39,23.87,S,2,20120201,31.9,32.5
T06,33,parajuba,Manilkara bidentata,Sapotaceae,108.8,107.5,32.07,50.3,E,1,20120201,109.7,107.5
T06,35,barrote,Tetragastris altissima,Burseraceae,57.1,57.5,23.52,37.93,C,1,20120201,58.6,57.5
T06,36,capueiro,Rinorea guianensis,Violaceae,10.7,12.5,6.34,15,S,2,20120201,10.8,12.5
T06,37,matamata,Eschweilera parviflora,Lecythidaceae,29.6,27.5,22.64,27.74,S,2,20120201,30.2,32.5
T06,38,ucuuba,Virola michelii,Myristicaceae,37.8,37.5,22.98,33.37,S,1,20120201,38.9,37.5
T06,39,morta,NA,NA,40,42.5,NA,14.88,NA,NA,20120201,40,42.5
T06,41,iperana,Eperua bijuga,Fabaceae,31.8,32.5,16.29,26.64,S,1,20120201,31.9,32.5
T06,42,abiurana,Pouteria gongrijpii,Sapotaceae,11.7,12.5,8.37,14.86,S,1,20120201,12.9,12.5
T06,44,abiurana,Pouteria gongrijpii,Sapotaceae,35,37.5,NA,12.34,S,1,20120201,35.1,37.5
T06,47,pau santo,Zollernia paraensis,Fabaceae,23.5,22.5,10.57,23.73,S,3,20120201,23.8,22.5
T06,49,abiurana,Pouteria gongrijpii,Sapotaceae,37.8,37.5,16.47,29.49,S,2,20120201,38.9,37.5
T06,50,tachirana,Stryphnodendron paniculatum,Fabaceae,49.7,47.5,20.74,30.58,E,1,20120201,51.4,52.5
T06,51,jatereu,Lecythis idatimon,Lecythidaceae,12.5,12.5,12.21,18.95,S,1,20120201,12.7,12.5
T06,53,louro preto,Ocotea cernua,Lauraceae,27.2,27.5,16.89,24.77,S,3,20120201,27.7,27.5
T06,56,guajara,Pouteria sp.,Sapotaceae,67.4,67.5,19.74,31.59,C,1,20120201,67.4,67.5
T06,59,louro preto,Ocotea cernua,Lauraceae,50.1,52.5,20.07,32.1,S,1,20120201,50.8,52.5
T06,60,jatereu,Lecythis idatimon,Lecythidaceae,13.6,12.5,8.71,10.69,S,3,20120201,13.6,12.5
T06,61,goiabao,Pradosia cochlearia,Sapotaceae,19.4,17.5,15.42,22.13,S,3,20120201,20.2,22.5
T06,62,matamata,Eschweilera parviflora,Lecythidaceae,50,52.5,17.96,33.17,S,1,20120201,50.7,52.5
T06,63,matamata,Eschweilera amazonica,Lecythidaceae,28.5,27.5,14.85,27.77,S,3,20120201,28.7,27.5
T06,64,caramuxi,Pouteria hispida,Sapotaceae,16.2,17.5,13.45,20.95,S,3,20120201,16.2,17.5
T06,65,barrote,Tetragastris altissima,Burseraceae,66.2,67.5,13.56,31.26,C,2,20120201,66.9,67.5
T06,66,barrote,Tetragastris altissima,Burseraceae,52.6,52.5,18.52,36.35,C,2,20120201,52.7,52.5
T06,69,iperana,Eperua bijuga,Fabaceae,13.1,12.5,10,16.44,S,3,20120201,13.1,12.5
T06,70,barrote vermelho,Tetragastris sp.,Burseraceae,66.2,67.5,20.97,33.9,C,2,20120201,66.8,67.5
T06,71,jatereu,Lecythis idatimon,Lecythidaceae,17.6,17.5,13.72,18.65,S,3,20120201,17.7,17.5
T06,73,louro preto,Nectandra cuspidata,Lauraceae,23.5,22.5,13.89,19.44,S,1,20120201,23.6,22.5
T06,75,inga amarelo,Inga sp.,Fabaceae,11.1,12.5,4.6,6.81,S,1,20120201,11.1,12.5
T06,76,guajara,Pouteria sp.,Sapotaceae,42,42.5,18.93,34.78,C,1,20120201,42,42.5
T06,78,matamata,Eschweilera amazonica,Lecythidaceae,10.1,12.5,7.28,12.28,S,3,20120201,10.1,12.5
T06,80,jatereu,Lecythis idatimon,Lecythidaceae,14,12.5,10.47,15.11,S,3,20120201,14.1,12.5
T06,88,macaranduba,Manilkara huberi,Sapotaceae,20.5,22.5,17.84,27.54,C,1,20120201,21.2,22.5
T06,90,abiurana,Pouteria gongrijpii,Sapotaceae,55.1,57.5,20.94,33.09,S,1,20120201,55.1,57.5
T06,91,abiurana,Pouteria gongrijpii,Sapotaceae,11.6,12.5,7.59,13.2,S,3,20120201,12,12.5
T06,95,arataciu,Sagotia racemosa,Euphorbiaceae,13.7,12.5,11.63,17.29,S,2,20120201,12.8,12.5
T06,96,jatereu,Lecythis idatimon,Lecythidaceae,14.3,12.5,9.8,17.49,S,3,20120201,14.3,12.5
T06,99,canela-de-jacamim,Rinorea pubiflora,Violaceae,14.1,12.5,4.64,14.33,S,3,20120201,14.3,12.5
T06,100,morta,NA,NA,11.8,12.5,NA,6.43,NA,NA,20120201,11.8,12.5
T06,101,matamata,Eschweilera parviflora,Lecythidaceae,16.4,17.5,16.11,19.87,S,3,20120201,16.7,17.5
T06,102,breu barrote,Tetragastris panamensis,Burseraceae,11.7,12.5,8.72,12.76,S,3,20120201,10.8,12.5
T06,103,canela-de-jacamim,Rinorea pubiflora,Violaceae,16.7,17.5,3.95,14.81,S,3,20120201,17,17.5
T06,107,abiurana,Pouteria gongrijpii,Sapotaceae,33.5,32.5,15.72,19.3,S,1,20120201,33.5,32.5
T06,110,envira preta,Guatteria schomburgkiana,Annonaceae,16.9,17.5,11.77,18.64,S,1,20120201,16.9,17.5
T06,112,matamata,Eschweilera parviflora,Lecythidaceae,20.3,22.5,14.99,18.59,S,3,20120201,25.7,27.5
T06,113,andirobarana,Guarea guidonia,Meliaceae,28,27.5,10.24,24.44,S,2,20120201,28.3,27.5
T06,114,tento,Ormosia grossa,Fabaceae,10.3,12.5,9.48,15.58,S,3,20120201,10.4,12.5
T06,115,matamata,Eschweilera parviflora,Lecythidaceae,36.8,37.5,16.24,24.21,S,2,20120201,36.8,37.5
T06,120,burangica,Galipea trifoliata,Rutaceae,14.2,12.5,7.99,12,S,2,20120201,14.3,12.5
T06,121,jarana,Lecythis lurida,Lecythidaceae,86.8,87.5,21.1,34.57,C,1,20120201,86.8,87.5
T06,125,abiurana,Pouteria gongrijpii,Sapotaceae,45,47.5,23.23,38.76,C,1,20120201,51,52.5
T06,129,barrote,Tetragastris altissima,Burseraceae,65.5,67.5,22.87,31.04,C,1,20120201,65.6,67.5
T06,131,cucutitiriba,Pouteria sp.,Sapotaceae,11.1,12.5,8.79,20.01,S,2,20120201,11.2,12.5
T06,132,goiabinha,Myrcia splendens,Myrtaceae,14.8,12.5,10.89,14.22,S,3,20120201,14.9,12.5
T06,133,envira,Xylopia sp.,Annonaceae,12.8,12.5,10.87,14.94,S,3,20120201,13,12.5
T06,134,matamata,Eschweilera parviflora,Lecythidaceae,21.6,22.5,12.19,22.09,S,2,20120201,28.9,27.5
T06,136,macaranduba,Manilkara huberi,Sapotaceae,58,57.5,26.96,43.88,E,1,20120201,59.2,57.5
T06,137,matamata,Eschweilera amazonica,Lecythidaceae,32.4,32.5,16.08,31.44,C,1,20120201,33.1,32.5
T06,138,iperana,Eperua bijuga,Fabaceae,10.6,12.5,11.28,16.17,S,1,20120201,10.9,12.5
T06,141,jatereu,Lecythis idatimon,Lecythidaceae,12,12.5,8.64,16.84,S,1,20120201,12.5,12.5
T06,142,axixa,Sterculia pruriens,Malvaceae,56.4,57.5,25.84,36.63,E,1,20120201,56.8,57.5
T06,144,jarana,Lecythis lurida,Lecythidaceae,46.2,47.5,25,32.62,C,1,20120201,46.3,47.5
T06,146,abiurana,Pouteria gongrijpii,Sapotaceae,75,77.5,23.03,42.3,E,1,20120201,75,77.5
T06,147,morta,NA,NA,50.5,52.5,NA,32.2,NA,NA,20120201,50.5,52.5
T06,150,cucutitiriba,Pouteria sp.,Sapotaceae,20.2,22.5,12.84,16.09,S,2,20120201,20.8,22.5
T06,151,iperana,Eperua bijuga,Fabaceae,18.2,17.5,9.32,15.41,S,2,20120201,18.6,17.5
T06,153,goiabao,Pradosia cochlearia,Sapotaceae,40,42.5,21.37,31.54,E,1,20120201,40.4,42.5
T06,154,goiabao,Pradosia cochlearia,Sapotaceae,54.5,52.5,26.72,41.29,E,1,20120201,55.1,57.5
T06,155,burangica,Galipea trifoliata,Rutaceae,10.9,12.5,2.57,8.14,S,2,20120201,11.1,12.5
T06,156,matamata,Eschweilera amazonica,Lecythidaceae,56,57.5,21.69,35.58,E,1,20120201,56,57.5
T06,157,axixa,Sterculia pruriens,Malvaceae,10.3,12.5,4.44,11.22,S,1,20120201,13.1,12.5
T06,158,morta,NA,NA,32.5,32.5,NA,16.64,NA,NA,20120201,32.5,32.5
T06,159,iperana,Eperua bijuga,Fabaceae,22.1,22.5,14.69,20.63,S,2,20120201,22.3,22.5
T06,162,iperana,Eperua bijuga,Fabaceae,17.7,17.5,8.28,18.87,S,2,20120201,18.2,17.5
T06,163,goiabao,Pradosia cochlearia,Sapotaceae,38.5,37.5,23.69,31.24,C,2,20120201,38.8,37.5
T06,164,tento,Ormosia grossa,Fabaceae,15.7,17.5,9.97,14.32,S,2,20120201,15.9,17.5
T06,165,abiurana,Pouteria gongrijpii,Sapotaceae,36.5,37.5,19.33,33.07,C,2,20120201,36.6,37.5
T06,166,tanibuca,Terminalia amazonia,Combretaceae,42,42.5,20.4,30.29,C,2,20120201,46,47.5
T06,167,parajuba,Manilkara bidentata,Sapotaceae,56,57.5,22.89,34.83,C,2,20120201,56.5,57.5
T06,168,parajuba,Manilkara bidentata,Sapotaceae,55.4,57.5,19.21,30.04,C,2,20120201,55.6,57.5
T06,169,abiurana casca fina,Pouteria retinervis,Sapotaceae,35,37.5,17.63,24.96,S,2,20120201,45,47.5
T06,170,iperana,Eperua bijuga,Fabaceae,35.3,37.5,16.51,27.65,C,2,20120201,36.3,37.5
T06,171,goiabao,Pradosia cochlearia,Sapotaceae,44,42.5,21.53,29.49,C,2,20120201,44.7,42.5
T06,172,jutai-mirim,Hymenaea parvifolia,Fabaceae,40.5,42.5,25.12,32.13,C,2,20120201,40.7,42.5
T06,173,jutai-pororoca,Dialium guianense,Fabaceae,42,42.5,20.93,30.53,C,2,20120201,42.2,42.5
T06,174,jatoba,Hymenaea courbaril,Fabaceae,38.6,37.5,25.05,39.68,C,2,20120201,48.6,47.5
T06,175,jatereu,Lecythis idatimon,Lecythidaceae,39.3,37.5,17.76,26.22,S,2,20120201,39.6,37.5
T06,176,barrote,Tetragastris altissima,Burseraceae,45,47.5,21.5,27.27,S,2,20120201,45.9,47.5
T06,177,seringarana,Micrandra minor,Euphorbiaceae,41,42.5,27.98,33.68,C,2,20120201,42.2,42.5
T06,178,abiurana,Pouteria gongrijpii,Sapotaceae,60.7,62.5,31.32,38.09,C,2,20120201,62.2,62.5
T06,179,mato,NA,NA,43.8,42.5,24.78,29.55,C,2,20120201,49.9,47.5
T06,180,iperana,Eperua bijuga,Fabaceae,41.5,42.5,15.34,21.22,C,2,20120201,41.6,42.5
T06,181,abiurana branca,Pouteria guianensis,Sapotaceae,49.9,47.5,25.12,30.45,C,2,20120201,49.9,47.5
T06,182,abiurana,Pouteria gongrijpii,Sapotaceae,37.3,37.5,23.01,31.18,C,2,20120201,38.5,37.5
T06,183,ucuuba,Virola michelii,Myristicaceae,44.4,42.5,26.49,34.48,C,2,20120201,45.2,47.5
T06,184,breu barrote,Tetragastris panamensis,Burseraceae,45,47.5,20.1,28.89,S,2,20120201,50,52.5
T06,185,pau-jacare,Laetia procera,Salicaceae,37.5,37.5,23.63,29.72,C,2,20120201,38.9,37.5
T06,186,breu barrote,Tetragastris panamensis,Burseraceae,43.9,42.5,21.07,29.72,S,2,20120201,43.9,42.5
T06,187,fava orelha-de-macaco,Enterolobium schomburgkii,Fabaceae,73.3,72.5,24.46,37.66,C,2,20120201,74.1,72.5
T06,188,tauari,Couratari stellata,Lecythidaceae,55,57.5,35.26,40.36,C,2,20120201,62,62.5
T06,189,abiurana,Pouteria gongrijpii,Sapotaceae,56,57.5,31.69,44.39,C,2,20120201,60,62.5
T06,190,parajuba,Manilkara bidentata,Sapotaceae,39.8,37.5,26.63,31.35,S,2,20120201,40.7,42.5
T06,191,uxi,Endopleura uchi,Humiriaceae,37.5,37.5,23.62,29.66,S,2,20120201,38,37.5
T07,1,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,52.5,25.53,39,E,1,20120209,50.3,52.5
T07,2,casca seca,Licania canescens,Chrysobalanaceae,43,42.5,18.53,32.61,S,2,20120209,43.1,42.5
T07,3,uxirana,Sacoglottis guianensis,Humiriaceae,33.8,32.5,18.91,30.72,S,2,20120209,34.2,32.5
T07,5,ucuuba,Virola michelii,Myristicaceae,33.7,32.5,30.34,53.7,S,1,20120209,35.9,37.5
T07,6,tanibuca,Terminalia amazonia,Combretaceae,55,57.5,36.23,43.06,E,1,20120209,#N/A,#N/A
T07,7,capueiro,Rinorea guianensis,Violaceae,15.5,17.5,10.71,21.6,S,2,20120209,15.7,17.5
T07,8,capueiro,Rinorea guianensis,Violaceae,10.8,12.5,7.76,14.93,S,2,20120209,10.9,12.5
T07,10,capueiro,Rinorea guianensis,Violaceae,23.2,22.5,8.99,19.27,S,2,20120209,22.4,22.5
T07,15,capueiro,Rinorea guianensis,Violaceae,10.8,12.5,6.42,10.94,S,2,20120209,#N/A,#N/A
T07,16,inga,Inga marginata,Fabaceae,20.2,22.5,14.35,22.38,S,2,20120209,20.5,22.5
T07,18,capueiro,Rinorea guianensis,Violaceae,18.9,17.5,14.33,21.26,S,3,20120209,19.3,17.5
T07,19,capueiro,Rinorea guianensis,Violaceae,11,12.5,4.93,7.28,S,3,20120209,#N/A,#N/A
T07,22,matamata,Eschweilera amazonica,Lecythidaceae,26.5,27.5,17.61,25.35,S,3,20120209,26.7,27.5
T07,23,capueiro,Rinorea guianensis,Violaceae,22.4,22.5,7.94,13.4,S,2,20120209,22.8,22.5
T07,24,carapanauba,Aspidosperma excelsum,Apocynaceae,92.1,92.5,29.29,40.44,E,1,20120209,94.4,92.5
T07,25,uxi,Endopleura uchi,Humiriaceae,74.7,72.5,27.36,42.22,E,1,20120209,75.9,77.5
T07,26,abiurana,Pouteria gongrijpii,Sapotaceae,42.3,42.5,21.13,35.91,S,2,20120209,42.5,42.5
T07,27,louro,Ocotea canaliculata,Lauraceae,40.2,42.5,20.8,36.83,C,2,20120209,44,42.5
T07,28,capueiro,Rinorea guianensis,Violaceae,12.3,12.5,9.13,11.92,S,2,20120209,#N/A,#N/A
T07,30,louro vermelho,Sextonia rubra,Lauraceae,87.6,87.5,30.34,50.14,E,1,20120209,#N/A,#N/A
T07,32,jatereu,Lecythis idatimon,Lecythidaceae,17.5,17.5,10.97,13.95,E,1,20120209,17.9,17.5
T07,33,capueiro,Rinorea guianensis,Violaceae,24.9,22.5,14.2,20.76,S,2,20120209,25.2,27.5
T07,34,matamata,Eschweilera amazonica,Lecythidaceae,38.9,37.5,18.12,29.42,S,1,20120209,41.2,42.5
T07,37,matamata,Eschweilera parviflora,Lecythidaceae,36.7,37.5,10.65,20.33,C,1,20120209,38.3,37.5
T07,39,capueiro,Rinorea guianensis,Violaceae,11.1,12.5,8.85,15.66,S,2,20120209,12,12.5
T07,40,joao-mole,Neea oppositifolia,Nyctaginaceae,55,57.5,25.59,41.59,E,1,20120209,55,57.5
T07,42,tachi branco,Tachigali paniculata,Fabaceae,37.2,37.5,17.23,29,E,1,20120209,47.3,47.5
T07,46,tachi preto,Tachigali myrmecophila,Fabaceae,16,17.5,10.37,17.47,S,2,20120209,16,17.5
T07,47,morta,NA,NA,14.5,12.5,NA,8.46,NA,NA,20120209,#N/A,#N/A
T07,49,breu branco,Protium paniculatum,Burseraceae,11.5,12.5,8.62,15.63,S,2,20120209,12,12.5
T07,51,matamata,Eschweilera amazonica,Lecythidaceae,58.8,57.5,17.67,30.22,C,1,20120209,59.1,57.5
T07,53,uxi,Endopleura uchi,Humiriaceae,89.8,87.5,28.68,39.47,E,1,20120209,92.5,92.5
T07,58,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,24.5,22.5,16.15,23.65,S,2,20120209,24.5,22.5
T07,60,barrote,Tetragastris altissima,Burseraceae,47,47.5,13.08,31.86,C,1,20120209,48,47.5
T07,62,ucurana,Sloanea guianensis,Elaeocarpaceae,70,72.5,13.98,23.11,E,1,20120209,70.1,72.5
T07,63,capueiro,Rinorea guianensis,Violaceae,18.7,17.5,14.79,21.03,S,3,20120209,19.7,17.5
T07,65,uxirana,Sacoglottis guianensis,Humiriaceae,42.5,42.5,12.07,15.27,C,1,20120209,43.4,42.5
T07,66,capueiro,Rinorea guianensis,Violaceae,14.6,12.5,12.98,18.31,S,3,20120209,15.1,17.5
T07,67,mapatirana,Pourouma villosa,Urticaceae,39.8,37.5,15.95,27.41,C,1,20120209,40,42.5
T07,68,uxi,Endopleura uchi,Humiriaceae,10.2,12.5,8.04,15.14,S,2,20120209,10.3,12.5
T07,69,capueiro,Rinorea guianensis,Violaceae,10.1,12.5,9.72,17.04,S,2,20120209,10.5,12.5
T07,72,pau-jacare,Laetia procera,Salicaceae,64.2,62.5,29.35,37.16,E,1,20120209,64.6,62.5
T07,73,caramuxi,Pouteria hispida,Sapotaceae,54.1,52.5,23.84,35.95,E,1,20120209,54.3,52.5
T07,74,morta,NA,NA,22.2,22.5,NA,11.27,NA,NA,20120209,#N/A,#N/A
T07,75,matamata,Eschweilera parviflora,Lecythidaceae,49.4,47.5,18.69,29.42,C,1,20120209,49.3,47.5
T07,76,macaranduba,Manilkara huberi,Sapotaceae,82.2,82.5,36.88,45.73,E,1,20120209,84.7,82.5
T07,77,piquia,Caryocar villosum,Caryocaraceae,150.7,152.5,24.01,36.63,C,1,20120209,150.7,152.5
T07,80,abiurana,Pouteria gongrijpii,Sapotaceae,21.5,22.5,19.59,26.84,C,2,20120209,21.8,22.5
T07,83,molongo,Ambelania acida,Apocynaceae,10.3,12.5,6.27,9.02,S,2,20120209,10.6,12.5
T07,84,capueiro,Rinorea guianensis,Violaceae,31.8,32.5,18.75,23.23,S,1,20120209,31.8,32.5
T07,86,jatereu,Lecythis idatimon,Lecythidaceae,12.5,12.5,11.33,13.37,S,2,20120209,13,12.5
T07,87,inga,Inga marginata,Fabaceae,11.7,12.5,14.33,19.14,S,2,20120209,12,12.5
T07,89,morta,NA,NA,17.8,17.5,NA,4.31,NA,NA,20120209,#N/A,#N/A
T07,90,uxirana,Sacoglottis guianensis,Humiriaceae,21.8,22.5,18.29,30.19,S,2,20120209,21.8,22.5
T07,92,matamata,Eschweilera amazonica,Lecythidaceae,49.5,47.5,15.96,29.26,C,1,20120209,50.7,52.5
T07,93,macucu,Licania guianensis,Chrysobalanaceae,37.8,37.5,30.34,43.68,C,1,20120209,#N/A,#N/A
T07,94,inga,Inga marginata,Fabaceae,80,82.5,22.4,39.01,E,1,20120209,81,82.5
T07,95,jatereu,Lecythis idatimon,Lecythidaceae,24.8,22.5,10.57,18.7,S,1,20120209,#N/A,#N/A
T07,96,abiurana,Pouteria gongrijpii,Sapotaceae,35.8,37.5,8.77,16.51,S,1,20120209,36,37.5
T07,99,jatereu,Lecythis idatimon,Lecythidaceae,23.3,22.5,15.49,26.08,S,2,20120209,23.2,22.5
T07,105,capueiro,Rinorea guianensis,Violaceae,15.6,17.5,11.52,19.86,S,1,20120209,16.3,17.5
T07,106,jatereu,Lecythis idatimon,Lecythidaceae,40.5,42.5,32.68,37.78,S,1,20120209,47.5,47.5
T07,107,guajara,Pouteria sp.,Sapotaceae,54.8,52.5,31.28,47.88,E,1,20120209,60,62.5
T07,109,merauba,Mouriri collocarpa,Melastomataceae,41.2,42.5,22.3,33.41,S,1,20120209,41.6,42.5
T07,111,abiurana,Pouteria gongrijpii,Sapotaceae,33.5,32.5,20.47,36.6,S,2,20120209,34.5,32.5
T07,113,muiratinga,Maquira coriacea,Moraceae,43.6,42.5,24.67,40.74,C,1,20120209,44.3,42.5
T07,114,abiurana,Pouteria gongrijpii,Sapotaceae,47.9,47.5,25.16,43.02,C,1,20120209,#N/A,#N/A
T07,115,carapanauba,Aspidosperma excelsum,Apocynaceae,91,92.5,30.22,46.63,E,1,20120209,91,92.5
T07,119,casca seca,Licania canescens,Chrysobalanaceae,62.4,62.5,16.86,31.95,C,1,20120209,62.4,62.5
T07,120,morta,NA,NA,82.1,82.5,NA,9.7,NA,NA,20120209,#N/A,#N/A
T07,121,anani,Symphonia globulifera,Clusiaceae,46.1,47.5,19.14,35,C,1,20120209,46.3,47.5
T07,122,macaranduba,Manilkara huberi,Sapotaceae,87.8,87.5,29.06,43.14,E,1,20120209,88.5,87.5
T07,125,inga,Inga marginata,Fabaceae,44.1,42.5,19.74,38.76,E,1,20120209,46.7,47.5
T07,126,angelim amarelo,Hymenolobium heterocarpum,Fabaceae,55,57.5,15.98,30.07,E,1,20120209,55,57.5
T07,128,jatereu,Lecythis idatimon,Lecythidaceae,11.7,12.5,11.24,16.38,S,3,20120209,11.9,12.5
T07,129,caqui,Diospyros guianensis,Ebenaceae,13.7,12.5,12.68,18.02,S,3,20120209,13.7,12.5
T07,131,araca,Myrcia deflexa,Myrtaceae,19.9,17.5,14.38,30.11,E,1,20120209,#N/A,#N/A
T07,132,seringueira,Hevea brasiliensis,Euphorbiaceae,64.6,62.5,20.7,32.29,E,1,20120209,#N/A,#N/A
T07,133,matamata,Eschweilera amazonica,Lecythidaceae,35.5,37.5,14.12,29.14,S,2,20120209,#N/A,#N/A
T07,134,capueiro,Rinorea guianensis,Violaceae,10.1,12.5,10.28,13.46,S,2,20120209,#N/A,#N/A
T07,135,abiu cutite,NA,NA,14.2,12.5,10.32,18.53,S,2,20120209,14.2,12.5
T07,136,jatereu,Lecythis idatimon,Lecythidaceae,13.7,12.5,5.07,11.03,S,2,20120209,14.4,12.5
T07,137,capueiro,Rinorea guianensis,Violaceae,11.8,12.5,6.21,13.73,S,2,20120209,12.3,12.5
T07,138,capueiro,Rinorea guianensis,Violaceae,11.1,12.5,7.52,13.22,S,2,20120209,11.3,12.5
T07,139,capueiro,Rinorea guianensis,Violaceae,14.5,12.5,9.01,14.91,S,1,20120209,14.8,12.5
T07,142,parajuba,Manilkara bidentata,Sapotaceae,56.4,57.5,23.49,35.03,S,1,20120209,57.5,57.5
T07,144,capueiro,Rinorea guianensis,Violaceae,12.8,12.5,11.3,31.51,S,2,20120209,13.3,12.5
T07,145,matamata,Eschweilera amazonica,Lecythidaceae,23.1,22.5,24.79,33.06,S,2,20120209,23.5,22.5
T07,146,muirapiranga,Brosimum rubescens,Moraceae,46.1,47.5,25.29,39.96,E,1,20120209,#N/A,#N/A
T07,147,piquia,Caryocar villosum,Caryocaraceae,61.5,62.5,26.77,41.13,S,1,20120209,#N/A,#N/A
T07,148,matamata,Eschweilera amazonica,Lecythidaceae,56.6,57.5,30.58,39.26,C,1,20120209,57.5,57.5
T07,149,maracatiara,Astronium graveolens,Anacardiaceae,60.5,62.5,33.91,49.86,C,1,20120209,#N/A,#N/A
T07,151,abiurana,Pouteria gongrijpii,Sapotaceae,36.6,37.5,15.87,24.74,C,1,20120209,36.6,37.5
T07,152,jatereu,Lecythis idatimon,Lecythidaceae,13.1,12.5,11.87,22.68,S,3,20120209,13.7,12.5
T07,153,copaiba,Copaifera reticulata,Fabaceae,42.3,42.5,17.01,24.65,C,2,20120209,43.2,42.5
T07,154,casca seca,Licania canescens,Chrysobalanaceae,47.4,47.5,19.96,29.33,C,2,20120209,48,47.5
T07,155,macucu,Licania guianensis,Chrysobalanaceae,39,37.5,24.08,36.76,C,2,20120209,42.2,42.5
T07,156,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,35.5,37.5,15.89,21.04,C,2,20120209,39.5,37.5
T07,157,matamata preto,Eschweilera ovata,Lecythidaceae,43,42.5,15.84,20.98,C,2,20120209,#N/A,#N/A
T07,158,abiurana branca,Pouteria guianensis,Sapotaceae,35.7,37.5,14.67,29.44,C,2,20120209,36,37.5
T07,159,jatereu,Lecythis idatimon,Lecythidaceae,43,42.5,18.5,32.1,C,2,20120209,43.1,42.5
T07,160,morta,NA,NA,36.3,37.5,NA,4.41,NA,NA,20120209,#N/A,#N/A
T07,161,caramuxi,Pouteria hispida,Sapotaceae,40.5,42.5,19.15,31.11,C,2,20120209,#N/A,#N/A
T07,162,manguerana,Tovomita sp.,Clusiaceae,39.6,37.5,18.45,35.7,S,2,20120209,40.1,42.5
T07,163,matamata branco,Eschweilera coriacea,Lecythidaceae,50,52.5,15.79,34.49,C,2,20120209,50.1,52.5
