parcela,arv,comum,cientifico,familia,dap.2013,Hcom.2013,Htot.2013,UTM_Easting,UTM_Northing
T01,62,INGA,Inga marginata,Fabaceae,14.1,8.6,16.07,220230.8518,9633855.803
T01,63,MORTA,NA,NA,35.6,NA,4.02,220258.0857,9633874.798
T01,64,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,66.7,22.98,35.36,220211.3183,9633841.485
T01,65,INHARE,Helicostylis sp.,Moraceae,11.4,8.96,11.73,220204.183,9633842.059
T01,66,MORTA,NA,NA,47.5,NA,33.76,220281.2414,9633882.435
T01,67,MULUNGU,NI,NI,19.7,13.41,20.71,220277.8826,9633880.239
T01,68,JUTAI,Hymenaea parviflora,Fabaceae,39.8,14.75,21.11,220276.0965,9633875.142
T01,69,MUIRATINGA,Brosimum rubescens ,Moraceae,40.6,14.98,22.54,220262.441,9633864.667
T01,70,FREIJO CINZA,Cordia goeldiana,Boraginaceae,35.1,18.39,27.57,220250.7735,9633863.111
T01,71,ENVIRA CUNAUARU,Annona ambotay,Annonaceae,33.3,18.72,22.1,220322.348,9633904.89
T01,72,FIGADO DE PREGUISA,NI,NI,36.3,15.83,19.26,220324.5787,9633900.867
T01,73,MURTA,Strychnos subcordata,Loganiaceae,13,9.91,14.69,220321.3319,9633904.66
T01,74,MURTA,Strychnos subcordata,Loganiaceae,10.9,7.96,13.45,220361.3793,9633927.292
T01,75,MORTA,NA,NA,11.5,NA,9.88,220397.5016,9633947.712
T01,76,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,15.8,11.25,13.74,220434.7309,9633967.166
T01,77,ENVIRA BIRIBA,NI,NI,17.5,10.43,15.21,220468.4464,9633984.709
T02,1,MORTA,NA,NA,38.6,NA,10.66,220633.6463,9633842.234
T02,2,MORTA,NA,NA,21.8,NA,16.16,220611.8547,9633832.153
T02,3,INGA,Inga marginata,Fabaceae,11.8,7.64,9.71,220607.7367,9633829.207
T02,4,FAVA FOLHA FINA,Parkia sp.,Fabaceae,41.8,15.38,20.91,220602.2828,9633830.734
T02,5,MAMUI,Jacaratia spinosa,Caricaceae,55,15.53,20.86,220593.1513,9633823.947
T02,6,PARICARANA,Dimorphandra macrostachya,Fabaceae,42.9,15.27,27.17,220568.6789,9633815.659
T02,7,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,16.3,11.62,16.35,220548.8489,9633800.746
T02,8,MATAMATA,Eschweilera parviflora,Lecythidaceae,52.3,19.41,32.81,220546.7919,9633800.838
T02,9,JATEREU,Lecythis idatimon,Lecythidaceae,26.9,17.2,23.11,220531.4853,9633791.197
T02,10,ANGELIM RAJADO,Zygia racemosa,Fabaceae,38.2,17.48,27.43,220479.5825,9633769.57
T02,11,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,43.9,17.26,27.41,220476.6294,9633768.321
T02,12,CAPUEIRO,Rinorea guianensis,Violaceae,20.3,15.47,20.35,220474.4308,9633762.644
T02,13,GEMA DE OVO,Poecilanthe effusa,Fabaceae,11.7,7.34,7.67,220466.3315,9633758.719
T02,14,CAPUEIRO,Rinorea guianensis,Violaceae,12,5.65,9.68,220465.3024,9633758.317
T02,15,MORTA,NA,NA,30.5,NA,4.85,220435.2346,9633741.258
T02,16,ANGELIM AMARELO,Hymenolobium sp.,Fabaceae,51.1,20.23,29.35,220430.5797,9633739.531
T02,17,MATAMATA,Eschweilera parviflora,Lecythidaceae,51.1,31.27,36.91,220411.1945,9633728.508
T02,18,PARICARANA,Dimorphandra macrostachya,Fabaceae,36.6,9.97,19.9,220413.3353,9633732.026
T02,19,MATAMATA,Eschweilera parviflora,Lecythidaceae,42.1,13.5,25.42,220376.0675,9633709.695
T02,20,PARAPARA,Jacaranda copaia,Bignoniaceae,11.3,7.67,9.41,220357.1733,9633698.197
T02,21,INGA,Inga marginata,Fabaceae,12.8,9.35,10.75,220301.4591,9633667.74
T02,22,BARROTE,Tetragastris altissima,Burseraceae,49.7,15.44,24.02,220298.7887,9633670.506
T02,23,MORTA,NA,NA,15.6,NA,4.02,220299.5688,9633666.612
T02,24,EMBAUBA,Cecropia ficifolia,Urticaceae,29,17.23,23.73,220281.7343,9633657.952
T02,25,INGA,Inga marginata,Fabaceae,12,9.42,12.67,220271.4984,9633651.666
T02,26,PARAPARA,Jacaranda copaia,Bignoniaceae,20.4,12.12,15.47,220268.022,9633649.688
T02,27,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,36.3,8.16,10.1,220258.0495,9633647.061
T02,28,POROROCA,Dialium guianense,Fabaceae,11,7.66,10.85,220253.8745,9633642.211
T02,29,CARAMUXI,Pouteria hispida,Sapotaceae,43.8,13.38,23.15,220250.3229,9633644.505
T02,30,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,13.7,8.6,12.46,220236.8416,9633633.754
T02,31,IPE,Tabebuia serratifolia,Bignoniaceae,14.7,5.82,10.92,220217.8647,9633623.233
T02,32,INHARE,Helicostylis sp.,Moraceae,18.9,11.76,15.48,220203.6463,9633615.265
T02,33,MORTA,NA,NA,45,NA,15.27,220220.0505,9633624.86
T02,34,ROXINHO,Peltogyne leicointei,Fabaceae,38,16.76,27.24,220227.0935,9633621.83
T02,35,MORTA,NA,NA,49.6,17.2,26.69,220217.6349,9633631.507
T02,36,MAMUI,Jacaratia spinosa,Caricaceae,42.5,15.24,20.89,220286.7957,9633654.994
T02,37,JARANA,Lecythis lurida,Lecythidaceae,100.2,29.78,35.39,220271.3769,9633648.991
T02,38,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,10.9,9.14,12.08,220292.9233,9633661.685
T02,39,LOURO ABACATE,Ocotea glomerata,Lauraceae,41,17.1,23.24,220327.1523,9633674.375
T02,40,INGA,Inga marginata,Fabaceae,28.3,6.57,17.04,220335.4905,9633685.543
T02,41,EMBAUBA,Cecropia ficifolia,Urticaceae,11.2,6.1,10.27,220343.8221,9633689.9
T02,42,GEMA DE OVO,Poecilanthe effusa,Fabaceae,10.5,9.45,12.71,220410.7923,9633725.979
T02,43,TAMANQUEIRA,Zanthoxylum rhoifolium,Rutaceae,20.1,8.86,15.31,220380.541,9633708.777
T02,44,EMBAUBA,Cecropia ficifolia,Urticaceae,14.7,11.26,14.18,220452.346,9633750.413
T02,45,EMBAUBA,Cecropia ficifolia,Urticaceae,18.7,18.12,21.97,220433.4449,9633739.55
T02,46,INGA,Inga marginata,Fabaceae,20.3,9.49,14.76,220432.4512,9633738.87
T02,47,IPERANA,Eperua bijuga,Fabaceae,46.2,14.78,20.31,220497.2901,9633768.341
T02,48,IPERANA,Eperua bijuga,Fabaceae,12.4,8.1,13.73,220467.9413,9633758.627
T02,49,SERINGARANA,Hevea sp.,Euphorbiaceae,50.9,24.04,27.62,220507.676,9633776.87
T02,50,CASCA SECA,Licania canescens,Chrysobalanaceae,41.3,12.7,19.49,220547.9482,9633795.827
T02,51,JATEREU,Lecythis idatimon,Lecythidaceae,48.6,20.1,27.15,220564.319,9633798.401
T02,52,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,12.5,5.61,9.85,220591.9395,9633820.55
T02,53,INGA,Inga marginata,Fabaceae,11.9,13.54,17.61,220586.2569,9633818.052
T02,54,ABIURANA BRANCA,Pouteria guianensis,Sapotaceae,17.1,8.44,14.81,220582.9006,9633816.267
T02,55,PINTADINHO,Poeppigia sp.,Fabaceae,30.6,11.8,22.1,220581.4229,9633814.749
T02,56,MACUCU,Licania heteromorpha,Chrysobalanaceae,15.5,12.03,16.86,220576.6804,9633813.055
T02,57,PIQUIA,Caryocar villosum,Caryocaraceae,58.8,17.8,28.98,220563.9639,9633800.459
T02,58,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,11.6,7.53,10.05,220604.0657,9633826.036
T02,59,MORTA,NA,NA,12,NA,3.18,220597.5352,9633825.015
T03,1,LACRE BRANCO,Vismia guianensis,Clusiaceae,11.2,10.47,14.37,220712.5324,9633689.543
T03,2,MORTA,NA,NA,13.7,NA,4.11,220701.8291,9633683.899
T03,3,INHARE,Helicostylis sp.,Moraceae,38.3,14.69,29.08,220683.6714,9633675.456
T03,4,IPERANA,Eperua bijuga,Fabaceae,40.9,19.95,28.29,220670.9355,9633672.81
T03,5,CACAU,Theobroma glaucum,Malvaceae,16.6,12.75,16.1,220671.9499,9633667.24
T03,6,ARATACIU,Sagotia racemosa,Euphorbiaceae,12.7,4.81,5.81,220659.2539,9633660.659
T03,7,MORTA,NA,NA,26.5,NA,4.58,220644.2629,9633652.642
T03,8,PARICARANA,Dimorphandra macrostachya,Fabaceae,44.3,11.03,22.01,220615.3039,9633638.955
T03,9,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,13.2,6.19,9.46,220585.0242,9633622.198
T03,10,MORTA,NA,NA,32.7,NA,3.45,220582.8546,9633621.167
T03,11,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,70.6,22.03,29.36,220567.0891,9633622.124
T03,12,EMBAUBA,Cecropia ficifolia,Urticaceae,13,11.06,13.54,220569.7356,9633613.458
T03,13,LACRE BRANCO,Vismia guianensis,Clusiaceae,10.1,6.59,10.09,220565.2099,9633611.75
T03,14,TATAJUBA,Bagassa guianensis,Moraceae,11.8,7.14,14.16,220555.5262,9633606.531
T03,15,MATAMATA,Eschweilera parviflora,Lecythidaceae,60.8,20.68,27.91,220547.3757,9633606.982
T03,16,INGA,Inga marginata,Fabaceae,14.4,13.94,18.22,220540.2304,9633597.194
T03,17,TAXI PRETO,Tachigali myrmecophila,Fabaceae,36.1,15.03,24.58,220511.2047,9633585.256
T03,18,CAPUEIRO,Rinorea guianensis,Violaceae,18.4,12.43,19,220498.4758,9633572.704
T03,19,MORTA,NA,NA,13.6,NA,4.53,220495.1448,9633570.676
T03,20,MACUCU,Licania heteromorpha,Chrysobalanaceae,20.3,10.03,11.67,220471.219,9633555.169
T03,21,MORTA,NA,NA,18.6,NA,2.82,220467.8026,9633553.089
T03,22,LACRE BRANCO,Vismia guianensis,Clusiaceae,15.4,13.09,16.04,220466.8444,9633552.74
T03,23,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,19.4,9.33,14.11,220462.3139,9633550.566
T03,24,EMBAUBA,Cecropia ficifolia,Urticaceae,11.3,8.68,12.03,220453.9322,9633545.772
T03,25,ABIURANA,Pouteria gongrijpii,Sapotaceae,10.1,5.92,9.99,220432.7934,9633534.391
T03,26,TAXI PRETO,Tachigali myrmecophila,Fabaceae,41.7,15.4,24.94,220430.0391,9633535.15
T03,27,PARAPARA,Jacaranda copaia,Bignoniaceae,39.7,14.8,22.72,220420.5298,9633535.592
T03,28,MOROTOTO,Schefflera morototoni,Araliaceae,36.8,18.77,26.59,220420.1353,9633528.514
T03,29,PENTE DE MACACO,Apeiba echinata,Malvaceae,14.6,6.69,12.92,220416.4293,9633524.743
T03,30,PARAPARA,Jacaranda copaia,Bignoniaceae,30,13.35,19.79,220404.8095,9633518.87
T03,31,ANDORINHA,Casearia grandiflora,Salicaceae,12.2,7.68,9.14,220408.4583,9633520.551
T03,32,MUIRATINGA,Brosimum rubescens ,Moraceae,13.5,7.75,12.79,220399.8139,9633515.528
T03,33,EMBAUBA,Cecropia ficifolia,Urticaceae,19.1,13.35,18.9,220373.6774,9633501.603
T03,34,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,37.6,11.95,19.1,220364.9337,9633505.9
T03,35,MORTA,NA,NA,24.5,NA,9.86,220360.5599,9633494.328
T03,36,INGA,Inga marginata,Fabaceae,13.5,8.94,10.33,220358.6009,9633492.327
T03,37,SANGRA D`AGUA,NI,NI,33.1,13.32,22.58,220345.5447,9633485.542
T03,38,SANGRA D`AGUA,NI,NI,18.6,13.32,21.13,220351.7165,9633488.851
T03,39,GUAJARA PEDRA,NI,NI,47,18.49,29.78,220331.7235,9633479.477
T03,40,INGA,Inga marginata,Fabaceae,14.7,6.35,13.82,220327.8537,9633476.188
T03,41,PENTE DE MACACO,Apeiba echinata,Malvaceae,13.9,9.75,12.64,220289.7146,9633454.463
T03,42,SANGRA D`AGUA,NI,NI,20,12,17.72,220288.7024,9633454.016
T03,43,CUTITIRIBA,Pouteria sp.,Sapotaceae,16.5,12.46,18.33,220325.0092,9633473.124
T03,44,PENTE DE MACACO,Apeiba echinata,Malvaceae,16,7.46,18.52,220324.4604,9633472.476
T03,45,MORTA,NA,NA,35.3,NA,2.55,220294.8638,9633461.32
T03,46,MORTA,NA,NA,48.2,NA,25.25,220302.2316,9633466.55
T03,47,SANGRA D`AGUA,NI,NI,11,10.93,15.53,220360.1399,9633492.266
T03,48,SANGRA D`AGUA,NI,NI,18.6,10.64,18.67,220353.9681,9633488.957
T03,49,ABIURANA,Pouteria gongrijpii,Sapotaceae,39.8,12.74,19.94,220339.3737,9633472.288
T03,50,JATEREU,Lecythis idatimon,Lecythidaceae,38,15.17,24.2,220411.5645,9633519.187
T03,51,JATEREU,Lecythis idatimon,Lecythidaceae,41.7,13.25,20.29,220411.3621,9633510.386
T03,52,CUMARU,Dipteryx odorata,Fabaceae,62.1,17.76,23.51,220392.9591,9633505.438
T03,53,MORTA,NA,NA,53.2,NA,10.18,220410.628,9633528.157
T03,54,JATEREU,Lecythis idatimon,Lecythidaceae,14,6.96,10.05,220452.6356,9633544.024
T03,55,JATEREU,Lecythis idatimon,Lecythidaceae,59.9,12.53,22.11,220444.0518,9633534.919
T03,56,INGA VERMELHO,Inga alba,Fabaceae,48,12.64,23.55,220440.3128,9633529.415
T03,57,INGA,Inga marginata,Fabaceae,11,1.71,8.5,220426.4509,9633529.387
T03,58,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,10.7,10.53,12.28,220496.508,9633569.398
T03,59,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,23.8,9.87,12.34,220493.7377,9633568.18
T03,60,POROROCA,Dialium guianense,Fabaceae,39,9.93,15.17,220546.6563,9633592.794
T03,61,EMBAUBA,Cecropia ficifolia,Urticaceae,17.7,9.87,12.48,220536.7472,9633594.839
T03,62,PARICARANA,Dimorphandra macrostachya,Fabaceae,18.5,8.7,11.3,220535.8487,9633593.238
T03,63,INGA,Inga marginata,Fabaceae,10.8,5.33,6.48,220519.2047,9633584.039
T03,64,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,51,22.06,29.49,220517.7046,9633582.657
T03,65,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,47.3,15.34,23.8,220514.126,9633573.922
T03,66,CARAMUXI,Pouteria hispida,Sapotaceae,40,19.29,26.59,220511.452,9633573.698
T03,67,CAPUEIRO,Rinorea guianensis,Violaceae,16.8,11.24,15.85,220508.6139,9633577.59
T03,68,INGA,Inga marginata,Fabaceae,47.8,15.96,22.85,220570.5697,9633605.872
T03,69,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,39.5,11.02,17.41,220563.7701,9633605.904
T03,70,INGA CHICHICA,Inga heterophylla,Fabaceae,10.4,8.1,10.13,220561.6956,9633608.767
T03,71,CORA?O DE NEGRO,Swartzia corrugata,Fabaceae,35.9,18.84,23.08,220557.2372,9633603.929
T03,72,MORTA,NA,NA,15.5,NA,8.57,220584.0656,9633621.014
T03,73,GUAJARA FERRO,NI,NI,27.7,10,16.1,220635.0922,9633646.45
T03,74,EMBAUBA,Cecropia ficifolia,Urticaceae,40.5,15.83,25.7,220600.1143,9633621.45
T03,75,INHARE,Helicostylis sp.,Moraceae,43.9,17.21,23.26,220662.1874,9633661.528
