parcela,arv,comum,cientifico,familia,dap.2013,Hcom.2013,Htot.2013,UTM_Easting,UTM_Northing
T04,49,ENVIRA QUIABO,Sterculia pruriens,Malvaceae,12.6,11.95,14.48,220459.4882,9633294.963
T04,50,TAXI PRETO,Tachigali myrmecophila,Fabaceae,16.7,12.74,15.8,220455.1519,9633293.492
T04,51,POROROCA,Dialium guianense,Fabaceae,10.2,5.55,14.7,220455.1067,9633292.554
T04,52,JATEREU,Lecythis idatimon,Lecythidaceae,44.9,21.82,33.65,220433.0026,9633280.858
T04,53,MASSARANDUBA,Manilkara huberi,Sapotaceae,41,18.81,30.53,220419.0642,9633277.075
T04,54,EMBAUBA,Cecropia ficifolia,Urticaceae,20,16.24,22.23,220419.6616,9633273.981
T04,55,ABIURANA,Pouteria gongrijpii,Sapotaceae,42,23.67,34.02,220416.3292,9633277.854
T04,56,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,21.2,11.09,17.66,220416.1603,9633271.029
T04,57,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,15.56,10.16,15.34,220398.9741,9633261.809
T04,58,MAMUI,Jacaratia spinosa,Caricaceae,46.4,13.91,21.11,220417.9247,9633268.918
T04,59,GOIABAO,Pradosia praealta,Sapotaceae,60.1,24.64,32.55,220405.7863,9633253.8
T04,60,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,35.3,23.33,34.33,220401.9627,9633258.545
T04,61,MORTA,NA,NA,66.4,20.34,29.29,220443.6656,9633286.378
T04,62,TAXI PRETO,Tachigali myrmecophila,Fabaceae,58,14.41,21.53,220467.5793,9633296.901
T04,63,JATEREU,Lecythis idatimon,Lecythidaceae,37.2,15.93,31.82,220463.0996,9633294.666
T04,64,POROROCA,Dialium guianense,Fabaceae,10.2,8.06,12.6,220462.1875,9633295.876
T04,65,ARATACIU,Sagotia racemosa,Euphorbiaceae,28,6.67,11.67,220455.4014,9633292.031
T04,66,PARICARANA,Dimorphandra macrostachya,Fabaceae,17.6,12.32,19.36,220453.5506,9633291.242
T04,67,MACACAUBA,Platymiscium filipes,Fabaceae,39.3,16.6,25.79,220444.5856,9633283.118
T04,68,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,36.1,14.93,21.93,220513.1393,9633324.002
T04,69,PRATUDO,Simaba cedron,Simaroubaceae,14.1,10.77,12.96,220510.8542,9633321.947
T04,70,ABIURANA VERMELHA,NI,NI,51.5,19.29,30.47,220501.5478,9633308.729
T04,71,ABIURANA,Pouteria gongrijpii,Sapotaceae,19.3,8.44,8.8,220567.9083,9633354.112
T04,72,FIGADO DE PREGUISA,NI,NI,47.5,9.6,17.68,220572.0836,9633346.708
T04,73,SUCUUBA,Himatanthus sucuuba,Euphorbiaceae,42.3,24.4,34.59,220569.4429,9633348.337
T04,74,CUTITIRIBA,Pouteria sp.,Sapotaceae,14,10.63,19.12,220566.0122,9633352.385
T04,75,FIGADO DE PREGUISA,NI,NI,40.5,11.61,24.42,220557.7816,9633348.658
T04,76,TAXI BRANCO,Tachigali paniculata,Fabaceae,57.8,12.98,22.73,220546.8318,9633341.612
T04,77,FAVA VERMELHA,Piptadenia cobi,Fabaceae,68,23.59,37.97,220608.9458,9633376.189
T04,78,JATEREU,Lecythis idatimon,Lecythidaceae,43.5,18.44,26.63,220606.6992,9633374.081
T04,79,INGA,Inga marginata,Fabaceae,10.5,7.49,12.63,220598.7226,9633371.894
T04,80,INGA CHICHICA,Inga heterophylla,Fabaceae,16.7,5.68,9.98,220571.9369,9633356.288
T04,81,MURTA,Strychnos subcordata,Loganiaceae,16.3,5.78,10.95,220647.2501,9633399.842
T04,82,EMBAUBA,Cecropia ficifolia,Urticaceae,13.2,9.57,18.03,220640.4749,9633395.577
T04,83,CAJUA?,Anacardium spruceanum,Anacardiaceae,54,18.96,29.1,220612.0904,9633379.74
T04,84,FAVA ARARA,Parkia multijuga,Fabaceae,52.4,22.01,29.38,220689.9818,9633414.683
T04,85,QUARUBA,Vochysia guianensis,Vochysiaceae,11,9.6,14.6,220682.3622,9633416.669
T04,86,LIANA,NA,NA,24.5,NA,NA,220681.2009,9633416.774
T04,87,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,43.4,13.72,27.35,220680.1067,9633412.138
T04,88,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,36.2,14.1,24.7,220658.4605,9633399.471
T04,89,TAMAQUARE,Caraipa grandifolia,Clusiaceae,11.9,11.81,15.45,220653.3255,9633403.211
T04,90,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,39.8,14.73,25.02,220737.4732,9633442.821
T04,91,UCUUBA,Virola melinoni,Myristicaceae,43.3,22.72,31.56,220734.1749,9633440.452
T04,92,NI,NI,NI,16.4,5.83,8.4,220714.3931,9633433.126
T04,93,NI,NI,NI,11.7,4.75,5.83,220696.3809,9633424.433
T04,94,INHARE,Helicostylis sp.,Moraceae,16.2,8.96,20.66,220780.1811,9633464.764
T04,95,AXICHA,NI,NI,14.5,7.28,9.09,220774.8209,9633462.066
T04,96,ANDORINHA,Casearia grandiflora,Salicaceae,16.5,12.54,17.64,220753.2497,9633451.545
T04,97,CUPIUBA,Goupia glabra,Goupiaceae,11.1,10.81,17.49,220822.9008,9633484.381
T04,98,PARICARANA,Dimorphandra macrostachya,Fabaceae,50.7,16.83,27.82,220802.1236,9633469.912
T04,99,A?I,Euterpe oleracea,Arecaceae,11.7,17.62,20.87,220792.9634,9633470.488
T04,100,CUPIUBA,Goupia glabra,Goupiaceae,13.1,7.77,14.75,220789.361,9633468.75
T04,101,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,37.2,14.28,28.99,220790.4156,9633464.262
T05,1,FAVA ARARA,Parkia multijuga,Fabaceae,43.7,10.96,16.58,220728.75,9632832.74
T05,2,MORTA,NA,NA,57.5,NA,11.11,220728.6606,9632832.695
T05,3,INGA,Inga marginata,Fabaceae,10.8,7.99,11.89,220727.9861,9632828.224
T05,4,MANDIOQUEIRA,Qualea paraensis,Vochysiaceae,16,14.08,19.43,220716.1302,9632822.196
T05,5,BREU BRANCO,Protium paniculatum,Burseraceae,20,9.54,21.05,220712.2831,9632820.947
T05,6,MATAMATA,Eschweilera parviflora,Lecythidaceae,43.3,13.93,28.51,220706.6524,9632826.184
T05,7,CASCA SECA,Licania canescens,Chrysobalanaceae,58.3,14.52,21.81,220705.5719,9632817.151
T05,8,MOLONGO,Ambelania acida,Apocynaceae,13.1,8,14.96,220698.5029,9632813.4
T05,9,ARATACIU,Sagotia racemosa,Euphorbiaceae,12.6,4.55,9.27,220698.2345,9632813.266
T05,10,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,11.4,5.07,8.75,220692.5527,9632810.543
T05,11,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,10.1,8.54,9.5,220665.5307,9632797.729
T05,12,ANDORINHA,Casearia grandiflora,Salicaceae,13.3,9.83,10.19,220658.2822,9632793.218
T05,13,PELO DE CUTIA,NI,NI,10.8,8.53,12.86,220585.3573,9632756.828
T05,14,LACRE BRANCO,Vismia guianensis,Clusiaceae,10.9,6.55,9.47,220583.4343,9632756.875
T05,15,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,10.6,4.17,7.88,220574.4859,9632751.739
T05,16,FAVA ATANA,Parkia gigantocarpa,Fabaceae,60.3,16.28,24.34,220570.1969,9632756.975
T05,17,PENTE DE MACACO,Apeiba echinata,Malvaceae,30.4,7.86,10.12,220570.8179,9632750.579
T05,18,GEMA DE OVO,Poecilanthe effusa,Fabaceae,10.5,4.05,10.91,220561.2429,9632744.907
T05,19,BREU DE LEITE,Thyrsodium paraense,Anacardiaceae,10.3,4.77,8.19,220559.7666,9632744.282
T05,20,FAVA BRANCA,Parkia paraensis,Fabaceae,53.9,10.74,23,220551.5193,9632750.504
T05,21,PARICARANA,Dimorphandra macrostachya,Fabaceae,60,17.15,26.91,220546.3908,9632746.032
T05,22,FAVA MARIMARI,Cassia fastuosa,Fabaceae,45.7,9.39,18.08,220547.1138,9632740.209
T05,23,MORTA,NA,NA,70,NA,12.91,220498.2519,9632717.605
T05,24,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,21.1,7.9,14.56,220493.6438,9632709.91
T05,25,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,15.8,10.26,11.17,220493.2889,9632709.725
T05,26,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,17.7,6.27,10.7,220490.8504,9632708.344
T05,27,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,11.5,10.75,15.34,220485.7505,9632705.577
T05,28,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,12.2,11.59,15.34,220485.5731,9632705.485
T05,29,JATEREU,Lecythis idatimon,Lecythidaceae,41.2,18.67,24.73,220504.148,9632721.011
T05,30,MORTA,NA,NA,42,NA,11.23,220476.4498,9632704.007
T05,31,INHARE,Helicostylis sp.,Moraceae,25.2,17.94,21.88,220477.6757,9632701.602
T05,32,JATEREU,Lecythis idatimon,Lecythidaceae,12.3,8.52,13.15,220465.3747,9632695.474
T05,33,SERINGARANA,Hevea sp.,Euphorbiaceae,57.7,21.82,30.7,220456.8778,9632690.156
T05,34,TAXIRANA,Stryphnodendron paniculatum,Fabaceae,19.7,7.46,12.86,220447.8636,9632685.809
T05,35,MORTA,NA,NA,42,NA,5.65,220439.019,9632684.972
T05,36,MAPATIRANA,Pourouma minor,Urticaceae,28.5,20.31,27.54,220432.9862,9632677.581
T05,37,MAPATIRANA,Pourouma minor,Urticaceae,42.2,11,21.92,220424.5053,9632676.486
T05,38,MANGUERANO,NI,NI,10.4,3.33,8.54,220426.1041,9632673.485
T05,39,FAVA ATANA,Parkia gigantocarpa,Fabaceae,16.5,10.29,14.48,220421.0092,9632672.415
T05,40,FAVA ATANA,Parkia gigantocarpa,Fabaceae,16.5,16.58,18.31,220419.3724,9632670.383
T05,41,PARICARANA,Dimorphandra macrostachya,Fabaceae,47.1,20.09,32.25,220406.2924,9632672.817
T05,42,CUPIUBA,Goupia glabra,Goupiaceae,82,12.38,26.05,220405.9593,9632662.384
T05,43,CAJU,NI,NI,49.3,21.71,35.88,220389.0915,9632660.018
T05,44,CARAMUXI,Pouteria hispida,Sapotaceae,41.9,17.34,27.47,220382.601,9632653.061
T05,45,MATAMATA,Eschweilera parviflora,Lecythidaceae,49,21.58,32,220373.3522,9632655.534
T05,46,MACUCU,Licania heteromorpha,Chrysobalanaceae,10.4,8.43,14,220374.2606,9632645.322
T05,47,GUAJARA PELUDO,Pouteria sp.,Sapotaceae,48,21.46,31.85,220368.1468,9632644.038
T05,48,MATAMATA,Eschweilera parviflora,Lecythidaceae,42.2,16.38,28.42,220347.0146,9632634.79
T05,49,GUAJARA BRANCO,Pouteria sp.,Sapotaceae,41.6,19.75,29.34,220342.1235,9632634.4
T05,50,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,19.7,4.85,9.12,220341.1636,9632627.27
T05,52,ANDIROBA,Carapa guianensis,Meliaceae,36.6,12.63,20.68,220324.064,9632626.828
T05,53,CUPIUBA,Goupia glabra,Goupiaceae,83.7,21.55,36.43,220308.4968,9632617.768
T05,54,MATAMATA,Eschweilera parviflora,Lecythidaceae,18.1,14.82,21.15,220307.7782,9632609.972
T05,55,MAPATIRANA,Pourouma minor,Urticaceae,26,16.08,26.98,220296.9579,9632603.273
T05,56,MAPATIRANA,Pourouma minor,Urticaceae,27.2,16.08,26.98,220296.9579,9632603.273
T05,57,INGA,Inga marginata,Fabaceae,38.7,16.48,28.57,220292.4148,9632601.592
T05,58,COCO PAU,Couepia robusta,Chrysobalanaceae,44.7,20.14,24,220329.7691,9632613.993
T05,59,PARURU,NI,NI,56.9,12.59,33.58,220315.7851,9632604.088
T05,60,TAXI PRETO,Tachigali myrmecophila,Fabaceae,70.8,18.55,41.8,220304.2163,9632606.662
T05,61,TACHI,Tachigali myrmecophila,Fabaceae,39.5,19.13,28.06,220302.554,9632599.149
T05,62,ENVIRA CANA,Xylopia nitida,Annonaceae,53.4,30.91,40.57,220301.0363,9632596.044
T05,63,PARAPARA,Jacaranda copaia,Bignoniaceae,59.8,22.01,35.34,220299.0111,9632598.356
T05,64,ARATACIU,Sagotia racemosa,Euphorbiaceae,12.1,6.22,10.43,220366.1964,9632640.468
T05,65,IPERANA,Eperua bijuga,Fabaceae,18.9,13.48,19.46,220362.644,9632638.417
T05,66,TANIBUCA,Terminalia amazonia,Combretaceae,75,23.63,32.61,220356.2633,9632632.317
T05,67,INGA PELUDO,Inga grandis,Fabaceae,29,17.02,24.76,220350.6982,9632632.129
T05,68,MORTA,NA,NA,36.3,NA,8.33,220365.8708,9632645.758
T05,69,JATEREU,Lecythis idatimon,Lecythidaceae,10.6,8.27,11.02,220346.6191,9632629.79
T05,70,ARATACIU,Sagotia racemosa,Euphorbiaceae,10.3,5.87,9.45,220344.5529,9632628.777
T05,71,CAJUA?,Anacardium spruceanum,Anacardiaceae,54.2,21.61,32.38,220341.3574,9632620.314
T05,72,ABIU ROSADINHO,Pouteria anibifolia,Sapotaceae,45.9,22.97,32.56,220416.0864,9632666.768
T05,73,MARAVUVUIA,Croton matourensis,Euphorbiaceae,57.4,28.98,41.59,220410.928,9632655.184
T05,74,SABUEIRO,Abarema jupunba,Fabaceae,35.8,18.38,24.84,220388.5887,9632646.075
T05,75,VIROLA,Virola melinoni,Myristicaceae,55,28.98,41.59,220389.5292,9632644.31
T05,76,MORTA,NA,NA,39.6,NA,33.74,220432.1554,9632677.014
T05,77,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,46.7,15.87,26.91,220432.3589,9632674.505
T05,78,TAXI PRETO,Tachigali myrmecophila,Fabaceae,46.2,20.38,29.7,220514.7215,9632710.393
T05,79,MATAMATA,Eschweilera parviflora,Lecythidaceae,53.9,24.21,32.08,220509.8109,9632711.22
T05,80,URUCURANA,Sloanea guianensis,Elaeocarpaceae,10.9,1.48,7.08,220556.9922,9632741.967
T05,81,ANDORINHA,Casearia grandiflora,Salicaceae,16.4,9.39,12.41,220547.1431,9632737.068
T05,82,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,15.4,5.48,10.35,220590.4572,9632758.926
T05,83,PIQUIA,Caryocar villosum,Caryocaraceae,17.3,5.64,11.78,220618.1062,9632772.947
T05,84,TAMANQUEIRA,Zanthoxylum rhoifolium,Rutaceae,21.5,8.46,17.88,220683.38,9632804.512
T05,85,INGA,Inga marginata,Fabaceae,12.7,7.64,14.16,220673.6275,9632800.54
T05,86,CAFEZINHO,Heisteria densifrons,Olacaceae,10.4,5.68,7.33,220660.563,9632793.127
T05,87,BARROTE,Tetragastris altissima,Burseraceae,36.5,6.39,13.24,220724.0034,9632825.007
T05,88,MANDIOQUEIRA,Qualea paraensis,Vochysiaceae,95,20.53,34.09,220723.1925,9632817.673
T05,89,CARAMUXI,Pouteria hispida,Sapotaceae,26.5,12.6,25.14,220716.5772,9632821.972
T05,90,TAXI BRANCO,Tachigali paniculata,Fabaceae,68,11.74,21.87,220714.3368,9632816.607
T05,91,ANDIROBA,Carapa guianensis,Meliaceae,36,12.11,27.88,220704.0056,9632815.81
T06,1,MORTA,NA,NA,37.7,NA,7.98,218928.9926,9633101.348
T06,2,EMBAUBA,Cecropia ficifolia,Urticaceae,11.7,8,14.08,218934.579,9633106.234
T06,3,MORTA,NA,NA,11.6,NA,5.96,218946.0454,9633113.46
T06,4,MORTA,NA,NA,25,NA,10.27,218949.1601,9633115.056
T06,5,EMBAUBA,Cecropia ficifolia,Urticaceae,12.5,7.31,12.23,218960.5188,9633119.642
T06,6,EMBAUBA,Cecropia ficifolia,Urticaceae,10.5,8.31,11.27,218991.0084,9633134.258
T06,7,MARAVUVUIA,Croton matourensis,Euphorbiaceae,21.2,10.14,15.22,219016.0927,9633148.239
T06,8,EMBAUBA,Cecropia ficifolia,Urticaceae,17.7,7.19,14.75,219019.3031,9633149.21
T06,9,EMBAUBA,Cecropia ficifolia,Urticaceae,12.7,7.65,12.49,219032.2413,9633156.853
T06,10,EMBAUBA,Cecropia ficifolia,Urticaceae,16,9,12.27,219055.032,9633167.636
T06,11,EMBAUBA,Cecropia ficifolia,Urticaceae,13.2,9.96,13.15,219067.7465,9633175.277
T06,12,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,10.8,5.53,9.3,219077.1385,9633179.753
T06,13,EMBAUBA,Cecropia ficifolia,Urticaceae,11.9,8.09,12.71,219077.4577,9633179.13
T06,14,EMBAUBA,Cecropia ficifolia,Urticaceae,11.2,6.86,12.22,219105.7754,9633195.258
T06,15,EMBAUBA,Cecropia ficifolia,Urticaceae,16.8,9.34,14.3,219125.8792,9633204.282
T06,16,EMBAUBA,Cecropia ficifolia,Urticaceae,13.7,4.82,7.26,219126.3484,9633205.547
T06,17,EMBAUBA,Cecropia ficifolia,Urticaceae,14,10.28,13.55,219131.9166,9633208.711
T06,18,EMBAUBA,Cecropia ficifolia,Urticaceae,11,10.28,11.62,219139.3383,9633213.079
T06,19,UXIRANA,Sacoglottis guianensis,Humiriaceae,27,14.14,18.93,219152.6433,9633217.837
T06,20,JATEREU,Lecythis idatimon,Lecythidaceae,11,9.95,15.18,219152.8202,9633217.93
T06,21,SERINGA PRETA,NI,NI,40,20.2,30.65,219165.5637,9633219.001
T06,22,ABIURANA,Pouteria gongrijpii,Sapotaceae,33,8.19,12.24,219165.9101,9633224.837
T06,23,MORTA,NA,NA,20.5,NA,7.79,219173.4548,9633229.835
T06,24,ABIURANA ROSADINHA,NI,NI,48.7,16.06,28.08,219170.179,9633236.134
T06,25,BARROTE,Tetragastris altissima,Burseraceae,43.7,15.03,22.51,219179.9462,9633239.026
T06,26,JATEREU,Lecythis idatimon,Lecythidaceae,46.6,16.51,27.9,219185.3915,9633244.16
T06,27,EMBAUBA,Cecropia ficifolia,Urticaceae,11.2,8.26,11.16,219191.7359,9633238.463
T06,28,EMBAUBA,Cecropia ficifolia,Urticaceae,12.7,9.2,12.25,219188.673,9633237.946
T06,29,EMBAUBA,Cecropia ficifolia,Urticaceae,16.2,11.65,16.33,219208.4251,9633248.72
T06,30,EMBAUBA,Cecropia ficifolia,Urticaceae,14,10.22,11.84,219209.3737,9633249.7
T06,31,EMBAUBA,Cecropia ficifolia,Urticaceae,21.7,11.79,18.6,219209.5636,9633249.348
T06,32,MORTA,NA,NA,44.8,NA,21.64,219224.7478,9633255.32
T06,33,EMBAUBA,Cecropia ficifolia,Urticaceae,14.5,12.69,16.36,219229.8337,9633260.635
T06,34,MATAMATA,Eschweilera parviflora,Lecythidaceae,45.6,13.77,23.53,219233.9163,9633265.284
T06,35,URUCURANA,Sloanea guianensis,Elaeocarpaceae,55,23.29,37.78,219240.9174,9633261.15
T06,36,COPAIBA,Copaifera reticulata,Fabaceae,54,16.46,27.45,219241.8669,9633259.39
T06,37,ABIU VERMELHO,Pouteria cladantha,Sapotaceae,38,14.33,24.66,219241.8996,9633271.968
T06,38,JARANA,Lecythis lurida,Lecythidaceae,59.8,18.04,34.83,219259.1611,9633275.774
T06,39,MORTA,NA,NA,13,NA,3.66,219268.3197,9633281.964
T06,40,MORTA,NA,NA,50,NA,5.94,219272.9932,9633275.406
T06,41,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,13.3,4.18,8.03,219278.4278,9633286.394
T06,42,JATEREU,Lecythis idatimon,Lecythidaceae,43.5,19.69,24.64,219280.032,9633291.846
T06,43,MORTA,NA,NA,42.5,NA,19.95,219287.4801,9633282.25
T06,44,EMBAUBA,Cecropia ficifolia,Urticaceae,12.5,7.66,12.32,219283.1127,9633290.347
T06,45,MORTA,NA,NA,31.8,NA,11.24,219293.7168,9633295.964
T06,46,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,38.8,18.52,24.63,219317.9843,9633303.632
T06,47,ABIURANA,Pouteria gongrijpii,Sapotaceae,38.5,12.67,25.58,219321.2664,9633312.292
T06,48,EMBAUBA,Cecropia ficifolia,Urticaceae,11.5,9.63,11.08,219327.9664,9633314.615
T06,49,EMBAUBA,Cecropia ficifolia,Urticaceae,13,8.59,13.05,219330.8998,9633317.602
T06,50,EMBAUBA,Cecropia ficifolia,Urticaceae,16,9.91,13.87,219333.0311,9633317.864
T06,51,EMBAUBA,Cecropia ficifolia,Urticaceae,13.6,8.24,11.81,219333.2684,9633317.423
T06,52,EMBAUBA,Cecropia ficifolia,Urticaceae,11.6,7.7,10.17,219333.3961,9633317.608
T06,53,EMBAUBA,Cecropia ficifolia,Urticaceae,15.6,12.81,16.76,219350.9367,9633327.848
T06,54,EMBAUBA,Cecropia ficifolia,Urticaceae,15.2,10.28,13.55,219353.4363,9633329.112
T07,1,EMBAUBA,Cecropia ficifolia,Urticaceae,13,9.28,12.45,219026.6064,9632928.743
T07,2,EMBAUBA,Cecropia ficifolia,Urticaceae,12,7.64,9.54,219030.2515,9632931.043
T07,3,EMBAUBA,Cecropia ficifolia,Urticaceae,12.8,12.56,13.83,219042.6962,9632936.828
T07,4,MORTA,NA,NA,32.3,NA,9.67,219046.1526,9632940.957
T07,5,EMBAUBA,Cecropia ficifolia,Urticaceae,14.5,10.11,14.25,219058.1096,9632946.593
T07,6,EMBAUBA,Cecropia ficifolia,Urticaceae,12.7,10.73,14.12,219063.6582,9632949.577
T07,7,EMBAUBA,Cecropia ficifolia,Urticaceae,15,9.86,14.09,219063.875,9632949.807
T07,8,EMBAUBA,Cecropia ficifolia,Urticaceae,12.2,10.45,12.55,219068.8544,9632952.371
T07,9,MORTA,NA,NA,40,NA,11.84,219081.7129,9632959.286
T07,10,EMBAUBA,Cecropia ficifolia,Urticaceae,10,7.83,14.33,219090.5675,9632963.935
T07,11,CASCA SECA,Licania canescens,Chrysobalanaceae,53.8,17.26,29.98,219096.6245,9632967.873
T07,12,EMBAUBA,Cecropia ficifolia,Urticaceae,13.5,4.04,5.04,219103.9071,9632971.222
T07,13,EMBAUBA,Cecropia ficifolia,Urticaceae,10.6,8.71,11.1,219107.7615,9632972.5
T07,14,MORTA,NA,NA,11.6,NA,7.37,219129.9698,9632985.465
T07,15,MORTA,NA,NA,18.3,NA,4.13,219143.4722,9632993.294
T07,16,ABIU ROSADINHO,Pouteria anibifolia,Sapotaceae,17,10.03,12.6,219148.3162,9632995.899
T07,17,EMBAUBA,Cecropia ficifolia,Urticaceae,12,10.1,12.05,219152.3468,9632997.272
T07,18,MORTA,NA,NA,34.2,NA,30,219152.7323,9632996.344
T07,19,EMBAUBA,Cecropia ficifolia,Urticaceae,12.8,10.67,13.12,219160.3813,9633000.911
T07,20,MATA MATA VERMELHO,Eschweilera grandifolia,Lecythidaceae,46,18.7,26.91,219162.6817,9633009.302
T07,21,MATAMATA,Eschweilera parviflora,Lecythidaceae,73,26.85,30.14,219170.854,9633017.33
T07,22,MATAMATA,Eschweilera parviflora,Lecythidaceae,55,18,29.04,219179.0749,9633014.711
T07,23,EMBAUBA,Cecropia ficifolia,Urticaceae,12.5,7.98,10.9,219189.2556,9633016.894
T07,24,EMBAUBA,Cecropia ficifolia,Urticaceae,16,11.2,17.22,219189.3503,9633016.718
T07,25,EMBAUBA,Cecropia ficifolia,Urticaceae,18.3,14.11,17.35,219189.7766,9633015.925
T07,26,EMBAUBA,Cecropia ficifolia,Urticaceae,11.5,9.24,12.3,219208.2896,9633027.325
T07,27,BARROTE,Tetragastris altissima,Burseraceae,52,24.05,31.08,219213.5594,9633022.998
T07,28,MATAMATA,Eschweilera parviflora,Lecythidaceae,24.5,8.82,13.27,219210.2519,9633029.167
T07,29,ABIU ROSADINHO,Pouteria anibifolia,Sapotaceae,40,16.79,28.05,219219.2067,9633033.84
T07,30,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,54.3,21.01,32,219228.5898,9633042.37
T07,31,JATEREU,Lecythis idatimon,Lecythidaceae,26.5,14.99,21.15,219235.1257,9633040.761
T07,32,INGA,Inga marginata,Fabaceae,12.3,7.06,9.51,219238.8897,9633042.206
T07,33,MORTA,NA,NA,67.5,NA,36.41,219241.4254,9633039.592
T07,34,INGA,Inga marginata,Fabaceae,12.6,2.14,13.92,219246.8365,9633047.7
T07,35,INGA,Inga marginata,Fabaceae,12.3,6.86,13.73,219246.7893,9633047.788
T07,36,MORTA,NA,NA,22.6,NA,13.7,219250.717,9633049.774
T07,37,MORTA,NA,NA,16.3,NA,7.53,219252.8746,9633051.041
T07,38,MASSARANDUBA,Manilkara huberi,Sapotaceae,51.3,27.65,37.73,219255.3632,9633045.341
T07,39,EMBAUBA,Cecropia ficifolia,Urticaceae,11.5,9.4,12.49,219254.9503,9633052.037
T07,40,MORTA,NA,NA,37,NA,4.2,219262.3241,9633052.463
T07,41,FAVA,Parkia sp.,Fabaceae,11,9.17,13.93,219270.2866,9633058.986
T07,42,FAVA,Parkia sp.,Fabaceae,10.5,9.27,14.09,219270.2866,9633058.986
T07,43,INHARE,Helicostylis sp.,Moraceae,62,26.8,33.81,219279.4587,9633063.889
T07,44,BARROTE,Tetragastris altissima,Burseraceae,35,11.48,17.02,219282.9234,9633068.008
T07,45,MAPARAJUBA,Manilkara amazonica,Sapotaceae,52.5,21.04,31.91,219296.7725,9633067.706
T07,46,MORTA,NA,NA,10.8,NA,14.42,219314.1055,9633083.561
T07,47,EMBAUBA,Cecropia ficifolia,Urticaceae,13.6,12.73,14.47,219314.6785,9633085.02
T07,48,MORTA,NA,NA,11.7,NA,13.11,219320.9017,9633088.228
T07,49,FAVA,Parkia sp.,Fabaceae,14,10.36,13.86,219331.0323,9633093.251
T07,50,A?ITA CAVALO,Luehea sp.,Malvaceae,62,26.25,41.01,219331.645,9633092.333
T07,51,JUTAI POROROCA,Dialium guianense,Fabaceae,43.4,17.83,24.79,219335.8944,9633092.053
T07,52,MATAMATA,Eschweilera parviflora,Lecythidaceae,25.9,19.96,27.92,219337.0883,9633096.139
T07,53,BARROTE,Tetragastris altissima,Burseraceae,54,7.33,12.55,219350.5057,9633105.376
T07,54,JUTAI POROROCA,Dialium guianense,Fabaceae,41.2,14.28,26.4,219365.1805,9633116.907
T07,55,FAVA,Parkia sp.,Fabaceae,19,11.3,18.83,219374.8414,9633118.816
T07,56,FAVA,Parkia sp.,Fabaceae,18,11.3,18.83,219374.8414,9633118.816
T07,57,EMBAUBA,Cecropia ficifolia,Urticaceae,32.8,14.98,21.03,219381.5419,9633121.145
T07,58,MORTA,NA,NA,15.5,NA,7.87,219392.3808,9633127.588
T07,59,MATAMATA,Eschweilera parviflora,Lecythidaceae,52.7,19.72,30.34,219385.5843,9633117.894
T07,60,EMBAUBA,Cecropia ficifolia,Urticaceae,11.4,10.96,14.79,219394.3225,9633128.203
T07,61,FAVA BARBATIMAO,Stryphnodendron pulcherrimum,Fabaceae,43,15.31,20.2,219429.5123,9633137.584
T07,62,JUTAI POROROCA,Dialium guianense,Fabaceae,33,17.28,23.45,219451.0792,9633158.633
T08,1,EMBAUBA,Cecropia ficifolia,Urticaceae,13,10.78,12.8,219122.8682,9632753.842
T08,2,LOURO PRETO,Nectandra cuspidata,Lauraceae,10.3,6.5,8.79,219123.1398,9632753.763
T08,3,LOURO PRETO,Nectandra cuspidata,Lauraceae,12.2,7.15,11.22,219123.6523,9632753.246
T08,4,MORTA,NA,NA,22,NA,15.39,219126.807,9632754.981
T08,5,EMBAUBA,Cecropia ficifolia,Urticaceae,20.3,12.16,17.24,219125.8434,9632756.733
T08,6,PARAPARA,Jacaranda copaia,Bignoniaceae,11.2,12.6,14.83,219145.7,9632766.281
T08,7,EMBAUBA,Cecropia ficifolia,Urticaceae,10.6,9.19,13.64,219148.7276,9632767.831
T08,8,EMBAUBA,Cecropia ficifolia,Urticaceae,11.7,9.08,12.77,219151.2032,9632769.763
