,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
1,92.078377,92.431068,92.812538,93.222198,93.661049,94.132866,94.643349,95.198524,95.803078,96.458694,97.162682,97.906898,98.677917,99.458221,100.229088,100.973381,101.68042,102.342308,102.967644,103.525322,104.079521,104.760002,104.699997,104.720001,104.796669,104.648071,104.654892,104.695427,104.76664,104.89283,105.239998,104.962326,104.889618,104.958679,105.132668,105.25103,105.234482,105.151833,105.116325,105.135689,105.251511,105.388969,105.470268,105.51841,105.59082,105.542412,105.300392,104.967735,104.701729,104.531937,104.505081,104.360886,103.93692,103.271904,102.62558,102.018501,101.446373,100.907822,100.411079,99.964897,99.57032,99.216599,98.899231,98.600906,98.458298,98.557518,98.970001,99.005569,99.096756,99.193069,99.29081,99.403999,99.554871,99.763977,100.044151,100.397209,100.81295,101.270882,101.744545,102.207718,102.640839,103.03511,103.393204,103.726738,104.052071,104.386124,104.743835,105.136505,105.571701,106.048355,106.548889,107.027466,107.470001,107.419998
2,92.078377,92.431068,92.812538,93.222198,93.661049,94.132866,94.643349,95.198524,95.803078,96.458694,97.162682,97.906898,98.677917,99.458221,100.229088,100.973381,101.68042,102.342308,102.967644,103.525322,104.079521,104.349289,104.669998,104.547501,104.466667,104.546326,104.595879,104.649712,104.660278,104.799957,104.94429,104.916283,104.894966,104.998779,105.32,105.519997,105.255638,105.190948,105.177284,105.215691,105.331253,105.68,105.592575,105.585526,105.82,105.800003,105.274727,104.942436,104.672523,104.576439,104.550987,104.82,103.82589,103.112991,102.4702,101.874771,101.303528,100.761139,100.262474,99.823509,99.437302,99.088722,98.746292,98.452217,98.07,98.449997,98.754097,98.888641,98.993927,99.085861,99.171158,99.277466,99.432747,99.658752,99.966209,100.352638,100.80217,101.288055,101.778481,102.244522,102.667519,103.042885,103.379128,103.693291,104.005165,104.333076,104.691475,105.091988,105.53981,106.040833,106.571518,107.08149,107.458,107.370003
3,91.961555,92.321739,92.711243,93.127434,93.572342,94.05162,94.57254,95.142067,95.765137,96.443016,97.171738,97.941147,98.735008,99.533157,100.314346,101.062202,101.763702,102.425888,103.029213,103.65538,104.043549,104.276283,104.529999,104.279999,104.360001,104.349998,104.760002,104.556625,104.608353,104.651497,104.754845,104.733932,104.781921,104.885254,105.068733,105.081093,105.133438,105.109146,105.09977,105.098755,105.223053,105.387024,105.68,105.390106,105.425911,105.322708,105.141914,104.800423,104.517181,104.313126,104.699997,104.161758,103.677055,102.973061,102.387009,101.798248,101.226616,100.681358,100.185127,99.764534,99.420479,99.071144,98.769135,98.383141,98.357635,98.301155,98.635529,98.790054,98.905388,98.973175,99.040962,99.141243,99.306091,99.555496,99.896591,100.321594,100.808022,101.321899,101.825638,102.288193,102.693604,103.043648,103.354317,103.648384,103.948532,104.272766,104.635353,105.044327,105.513252,106.027977,106.627167,107.160004,107.224998,107.25016
4,91.843712,92.215973,92.613457,93.034851,93.485046,93.972099,94.504753,95.09066,95.734787,96.437782,97.194153,97.991188,98.809555,99.625389,100.416603,101.163017,101.865242,102.502182,103.160835,103.635468,104.072174,104.325119,104.580002,104.473335,104.07,104.106667,104.33667,104.483009,104.499718,104.541016,104.581612,104.599815,104.678185,104.746773,104.739998,104.889999,105.015091,105.160004,104.998726,105.033798,105.085396,105.093849,105.238419,105.1763,104.953712,105.05938,104.94397,104.746796,104.297226,104.068871,103.838852,103.742447,103.308449,102.931381,102.294441,101.714638,101.128365,100.576363,100.081223,99.669815,99.384949,99.110619,98.543922,98.610001,97.705002,98.28038,98.619377,98.734375,98.800728,98.847702,98.892693,98.993073,99.174202,99.454254,99.835266,100.303795,100.82972,101.37056,101.882256,102.33271,102.711197,103.028717,103.310127,103.583786,103.873146,104.195534,104.559608,104.981018,105.448959,106.023323,106.541077,107.025002,107.142502,107.088371
5,91.730064,92.113945,92.516426,92.940651,93.39547,93.891045,94.43708,95.04158,95.709404,96.440361,97.227158,98.054146,98.897591,99.731117,100.526604,101.275871,101.950096,102.631927,103.127045,103.587067,104.038933,104.660004,104.426071,104.35096,104.160004,104.224556,104.318939,104.369873,104.438187,104.460022,104.545547,104.533386,104.552612,104.613724,104.749176,105.18,104.918503,104.892693,104.933601,104.924004,104.973244,105.164764,105.127304,104.982887,104.972313,104.870117,105.18,104.532791,104.238731,103.832779,103.604057,103.400826,103.073273,102.685593,102.270576,101.61528,101.02813,100.462906,99.967934,99.575668,99.297768,99.279999,98.650002,97,97.936638,98.699997,98.62381,98.685417,98.687134,98.688179,98.733887,98.837845,99.045792,99.364014,99.791618,100.30899,100.877151,101.443008,101.9552,102.382568,102.723793,103.002693,103.254318,103.51075,103.795265,104.118164,104.494263,104.911049,105.440102,105.918243,106.376877,106.824997,106.9375,106.955002
6,91.619415,92.00972,92.411697,92.836594,93.295998,93.801178,94.362206,94.987282,95.681061,96.442375,97.261917,98.119843,98.98877,99.83371,100.635803,101.354935,102.066078,102.568253,103.002998,103.431389,103.938568,104.262985,104.413628,104.300003,104.310707,104.315453,104.305092,104.321274,104.334297,104.40345,104.454124,104.436707,104.32,104.526482,104.689209,104.72261,104.791168,104.748146,104.789902,104.795959,104.823822,105.040001,105.160004,104.79628,104.654015,104.614059,104.501251,104.316765,103.997421,103.783745,103.48082,103.312813,102.935097,102.492714,102.024551,101.563774,100.902618,100.334137,99.824211,99.429344,99.188377,98.953094,98.47599,97.620003,98.09906,98.403717,98.622978,98.59993,98.54229,98.507118,98.546631,98.686279,98.925697,99.290215,99.770538,100.342476,100.955841,101.543243,102.044983,102.434784,102.727211,102.963326,103.187698,103.434364,103.718643,104.054825,104.425903,104.903069,105.320267,105.734467,106.190201,106.650002,106.705002,106.577499
7,91.529831,91.913055,92.311913,92.737862,93.204094,93.721519,94.300659,94.949936,95.673744,96.4701,97.326797,98.220856,99.11454,99.978867,100.759476,101.519356,102.049393,102.481918,102.874916,103.301613,103.742302,104.389999,104.619995,104.348083,104.304825,104.455002,104.285347,104.256882,104.26638,104.316544,104.428528,104.355225,104.380974,104.5,104.472488,104.628441,104.703461,104.745285,104.669189,104.644516,104.641899,104.65313,104.630295,104.559608,104.476715,104.388947,104.323936,104.035805,103.84906,103.720001,103.610321,103.345581,102.825882,102.304855,101.800438,101.307198,100.839607,100.203606,99.697624,99.313377,99.103394,99.083847,98.801697,98.527679,98.346252,98.493614,98.535645,98.452522,98.341827,98.297028,98.353584,98.527588,98.821053,99.235481,99.774025,100.407646,101.070045,101.673126,102.147614,102.480301,102.712112,102.904686,103.110001,103.353897,103.652954,103.986084,104.417664,104.773155,105.115936,105.506287,105.968781,106.546669,106.542,106.426003
8,91.428612,91.810066,92.202873,92.63308,93.108002,93.639809,94.239433,94.915871,95.673218,96.507835,97.406471,98.336525,99.263535,100.116753,100.941734,101.5149,101.961105,102.336372,102.696999,103.023285,103.454445,104.055,104.209999,104.201103,104.239998,104.178001,104.189995,104.190002,104.140762,104.253334,104.349998,104.282143,104.260002,104.329613,104.36956,104.535728,104.879997,104.604652,104.599998,104.510971,104.452698,104.449997,104.43058,104.353745,104.302177,104.182999,104.157951,103.821327,103.632957,103.557747,103.391777,103.190361,102.640816,102.089211,101.558395,101.042046,100.543793,100.094765,99.513863,99.134186,99.001862,99.097191,98.958061,98.627617,98.454636,98.386482,98.41803,98.202469,98.075722,98.055534,98.158806,98.384888,98.731964,99.198395,99.803116,100.506706,101.225548,101.833878,102.253937,102.503479,102.665176,102.821968,103.018494,103.27784,103.5774,103.973244,104.280495,104.555511,104.852592,105.222717,105.71801,106.224998,106.361664,106.199997
9,91.359901,91.693459,92.098793,92.532875,93.020164,93.568367,94.192001,94.900185,95.695358,96.57415,97.517395,98.497978,99.433868,100.34623,100.985519,101.467522,101.85067,102.186607,102.45974,102.75843,103.073433,103.51416,103.697701,104.07,104.184998,104.095001,103.989998,103.980309,103.960007,104.089081,104.193336,104.290001,104.050003,104.141891,104.230286,104.367088,104.471825,104.500587,104.408562,104.374718,104.34021,104.264114,104.346161,104.205582,104.135483,103.967087,103.839539,103.590866,103.409126,103.310196,103.114731,102.921898,102.352676,101.842094,101.312241,100.755211,100.230583,99.756271,99.367767,98.93103,98.767708,98.999893,98.734009,98.440666,98.222588,98.127014,98.037369,97.849731,97.755692,97.800415,97.973083,98.267593,98.677834,99.202316,99.8536,100.653511,101.44178,102.037025,102.355415,102.489471,102.585709,102.72435,102.936768,103.202309,103.571541,103.849495,104.079407,104.304527,104.567871,104.919052,105.408081,106.110001,105.919998,105.845001
10,91.330322,91.625809,91.990128,92.449074,92.94529,93.513329,94.165504,94.911179,95.750671,96.675247,97.67952,98.693214,99.717621,100.45562,100.998596,101.409569,101.749489,102.011284,102.259041,102.480125,102.723595,103.002022,103.439461,103.659508,103.870003,104.065002,103.739998,103.752502,103.860001,103.955002,103.977501,104,103.994995,104.091721,104.150772,104.190521,104.261726,104.284309,104.309326,104.239922,104.296555,104.315247,104.274239,104.051231,103.933815,103.774727,103.605415,103.335335,103.15287,103.122025,102.873383,102.505226,101.99511,101.589905,101.074333,100.421997,99.871849,99.450294,99.054878,98.711052,98.375633,98.490044,98.271591,98.007736,97.780937,97.668564,97.582108,97.4142,97.41288,97.545326,97.803574,98.174149,98.655403,99.247223,99.948807,100.836357,101.748535,102.288025,102.400948,102.400269,102.467087,102.621918,102.843742,103.184959,103.446991,103.656296,103.833733,104.011627,104.239456,104.540001,104.975395,105.769997,105.488312,105.311699
