Atividade,Talhao,AreaTrab,DataInicio,DataFim,HM,Diarias, D/AT , HM/AT ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,017-09   ,50.18,27-11-09,28-11-09,16,52, 1.04 , 0.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,018-09,23.00,30-11-09,30-11-09,8,26, 1.13 , 0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,018-09,17.98,03-12-09,04-12-09,10,39, 2.17 , 0.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,019-09,31.38,04-12-09,17-12-09,21,72, 2.29 , 0.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,003-09   ,30.79,18-12-09,19-12-09,10,30, 0.97 , 0.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,020-09,19.48,04-12-09,22-12-09,19,40, 2.05 , 0.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,016-09   ,34.39,19-12-09,23-12-09,16,41, 1.19 , 0.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,008-09   ,49.09,23-12-09,28-12-09,22,69, 1.41 , 0.45 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,012-09   ,33.56,29-12-09,29-12-09,8,31, 0.92 , 0.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,015-09  ,42.85,30-12-09,30-12-09,8,33, 0.77 , 0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,008-09   ,3.00,11-02-10,11-02-10,1,4, 1.33 , 0.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,016-09   ,21.00,19-02-10,19-02-10,8,29, 1.38 , 0.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,020-09,1.54,23-02-10,23-02-10,1,2, 1.30 , 0.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,
