parcela,arvore,comum,cientifico,familia,dap2012,vertical,luminosidade,hcom,ht,medicao
T05,96,morta,NA,NA,80.8,NA,NA,NA,11.34,20120131
T05,99,timborana,Pseudopiptadenia suaveolens,Fabaceae,39.3,E,1,20.63,31.81,20120131
T05,113,acoita-cavalo,Luehea speciosa,Malvaceae,50,C,1,13.37,22.82,20120131
T05,114,caramuxi,Pouteria hispida,Sapotaceae,50.5,C,1,19.78,33.43,20120131
T05,124,goiabao,Pradosia cochlearia,Sapotaceae,65.3,S,1,21.85,36.52,20120131
T05,128,guajara-mirim,Pouteria sp.,Sapotaceae,63.5,C,1,22.7,32.55,20120131
T05,129,morta,NA,NA,46,NA,NA,NA,16.64,20120131
T05,134,maracatiara,Astronium graveolens,Anacardiaceae,110.5,C,1,31.61,52.75,20120131
T05,137,morta,NA,NA,45.8,NA,NA,NA,25.63,20120131
T05,151,louro preto,Nectandra cuspidata,Lauraceae,43,C,1,18.61,30.51,20120131
T05,153,abiurana,Pouteria gongrijpii,Sapotaceae,59.8,C,2,31.27,43.4,20120131
T05,160,barrote,Tetragastris altissima,Burseraceae,55.5,S,3,13.18,29.74,20120131
T05,165,barrote,Tetragastris altissima,Burseraceae,56.8,S,2,13.1,22.8,20120131
T05,169,seringueira,Hevea brasiliensis,Euphorbiaceae,43.8,C,2,25.74,35.02,20120131
T05,170,jarana,Lecythis lurida,Lecythidaceae,38.6,C,2,22.47,30.73,20120131
T05,172,macaranduba,Manilkara huberi,Sapotaceae,36.9,C,2,19.34,23.99,20120131
T05,173,breu barrote,Tetragastris panamensis,Burseraceae,55,C,2,12.49,26.75,20120131
T05,174,breu barrote,Tetragastris panamensis,Burseraceae,52.3,C,2,16.81,30.87,20120131
T05,175,matamata branco,Eschweilera coriacea,Lecythidaceae,41.3,C,2,27.4,34.9,20120131
T05,176,matamata preto,Eschweilera ovata,Lecythidaceae,38.9,C,2,22.61,33.09,20120131
T05,177,abiurana,Pouteria gongrijpii,Sapotaceae,54.9,C,2,21.41,31.92,20120131
T05,178,embauba toren,Cecropia engleriana,Urticaceae,49,C,2,25.3,32.3,20120131
T05,179,fava-saboeiro,Abarema jupunba,Fabaceae,56.8,C,2,20.82,35.19,20120131
T05,180,pau-de-remo,Chimarrhis turbinata,Rubiaceae,42.9,S,2,15.06,23.99,20120131
T05,181,inga branco,Inga thibaudiana,Fabaceae,35.8,C,2,13.36,25.32,20120131
T05,182,abiurana,Pouteria gongrijpii,Sapotaceae,40.8,C,2,18.55,32.34,20120131
T05,183,castanha-sapucaia,Lecythis pisonis,Lecythidaceae,68,C,2,23.79,34.26,20120131
T05,184,jarana,Lecythis lurida,Lecythidaceae,43,C,2,18.37,29.02,20120131
T05,185,axixa,Sterculia pruriens,Malvaceae,39.1,C,2,17.95,29.83,20120131
T05,186,matamata branco,Eschweilera coriacea,Lecythidaceae,39,C,2,15.59,30.61,20120131
T05,187,morta,NA,NA,47.9,NA,NA,NA,30.87,20120131
T05,188,abiu cramuri,NA,NA,36.6,C,2,15.16,25.35,20120131
T05,189,matamata preto,Eschweilera ovata,Lecythidaceae,40.2,C,2,17.17,28.36,20120131
T05,190,matamata preto,Eschweilera ovata,Lecythidaceae,37,C,2,14.15,26.6,20120131
T05,191,araracanga,Aspidosperma spruceanum,Apocynaceae,35,C,2,28.04,39.75,20120131
T05,192,jatereu,Lecythis idatimon,Lecythidaceae,36,C,2,26.17,33.18,20120131
T05,193,pau-de-macaco,Apeiba membranacea,Malvaceae,41.7,S,2,8.24,15.54,20120131
T05,194,maracatiara,Astronium graveolens,Anacardiaceae,40.4,C,2,34.77,41.04,20120131
T05,195,pau-de-macaco,Apeiba membranacea,Malvaceae,35.6,C,2,18.44,25.64,20120131
T05,196,breu vermelho,Protium hebetatum,Burseraceae,59.5,C,2,23.27,34.36,20120131
T05,197,matamata branco,Eschweilera coriacea,Lecythidaceae,46.8,C,2,15.87,28.98,20120131
T05,198,matamata preto,Eschweilera ovata,Lecythidaceae,35.4,C,2,23.16,31.44,20120131
T05,200,morta,NA,NA,38.3,NA,NA,NA,28.27,20120131
T06,3,parajuba,Manilkara bidentata,Sapotaceae,42.9,C,1,19.38,32.65,20120201
T06,7,jutai,Hymenaea parvifolia,Fabaceae,49.9,E,1,34.93,45.42,20120201
T06,8,tauari,Couratari stellata,Lecythidaceae,65,E,1,31.19,51.1,20120201
T06,13,iperana,Eperua bijuga,Fabaceae,35.3,S,1,16.25,25.66,20120201
T06,15,matamata,Eschweilera parviflora,Lecythidaceae,60.2,C,2,21.21,37.26,20120201
T06,17,matamata,Eschweilera parviflora,Lecythidaceae,67,C,1,26.46,42.67,20120201
T06,23,matamata,Eschweilera amazonica,Lecythidaceae,50.4,C,1,19.59,33.12,20120201
T06,25,matamata,Eschweilera parviflora,Lecythidaceae,36.5,S,2,19.56,27.18,20120201
T06,26,matamata,Eschweilera parviflora,Lecythidaceae,50,C,2,23.78,36.7,20120201
T06,28,matamata,Eschweilera parviflora,Lecythidaceae,47.1,C,2,16.42,37.95,20120201
T06,33,parajuba,Manilkara bidentata,Sapotaceae,108.8,E,1,32.07,50.3,20120201
T06,35,barrote,Tetragastris altissima,Burseraceae,57.1,C,1,23.52,37.93,20120201
T06,38,ucuuba,Virola michelii,Myristicaceae,37.8,S,1,22.98,33.37,20120201
T06,39,morta,NA,NA,40,NA,NA,NA,14.88,20120201
T06,44,abiurana,Pouteria gongrijpii,Sapotaceae,35,S,1,NA,12.34,20120201
T06,49,abiurana,Pouteria gongrijpii,Sapotaceae,37.8,S,2,16.47,29.49,20120201
T06,50,tachirana,Stryphnodendron paniculatum,Fabaceae,49.7,E,1,20.74,30.58,20120201
T06,56,guajara,Pouteria sp.,Sapotaceae,67.4,C,1,19.74,31.59,20120201
T06,59,louro preto,Ocotea cernua,Lauraceae,50.1,S,1,20.07,32.1,20120201
T06,62,matamata,Eschweilera parviflora,Lecythidaceae,50,S,1,17.96,33.17,20120201
T06,65,barrote,Tetragastris altissima,Burseraceae,66.2,C,2,13.56,31.26,20120201
T06,66,barrote,Tetragastris altissima,Burseraceae,52.6,C,2,18.52,36.35,20120201
T06,70,barrote vermelho,Tetragastris sp.,Burseraceae,66.2,C,2,20.97,33.9,20120201
T06,76,guajara,Pouteria sp.,Sapotaceae,42,C,1,18.93,34.78,20120201
T06,90,abiurana,Pouteria gongrijpii,Sapotaceae,55.1,S,1,20.94,33.09,20120201
T06,115,matamata,Eschweilera parviflora,Lecythidaceae,36.8,S,2,16.24,24.21,20120201
T06,121,jarana,Lecythis lurida,Lecythidaceae,86.8,C,1,21.1,34.57,20120201
T06,125,abiurana,Pouteria gongrijpii,Sapotaceae,45,C,1,23.23,38.76,20120201
T06,129,barrote,Tetragastris altissima,Burseraceae,65.5,C,1,22.87,31.04,20120201
T06,136,macaranduba,Manilkara huberi,Sapotaceae,58,E,1,26.96,43.88,20120201
T06,142,axixa,Sterculia pruriens,Malvaceae,56.4,E,1,25.84,36.63,20120201
T06,144,jarana,Lecythis lurida,Lecythidaceae,46.2,C,1,25,32.62,20120201
T06,146,abiurana,Pouteria gongrijpii,Sapotaceae,75,E,1,23.03,42.3,20120201
T06,147,morta,NA,NA,50.5,NA,NA,NA,32.2,20120201
T06,153,goiabao,Pradosia cochlearia,Sapotaceae,40,E,1,21.37,31.54,20120201
T06,154,goiabao,Pradosia cochlearia,Sapotaceae,54.5,E,1,26.72,41.29,20120201
T06,156,matamata,Eschweilera amazonica,Lecythidaceae,56,E,1,21.69,35.58,20120201
T06,163,goiabao,Pradosia cochlearia,Sapotaceae,38.5,C,2,23.69,31.24,20120201
T06,165,abiurana,Pouteria gongrijpii,Sapotaceae,36.5,C,2,19.33,33.07,20120201
T06,166,tanibuca,Terminalia amazonia,Combretaceae,42,C,2,20.4,30.29,20120201
T06,167,parajuba,Manilkara bidentata,Sapotaceae,56,C,2,22.89,34.83,20120201
T06,168,parajuba,Manilkara bidentata,Sapotaceae,55.4,C,2,19.21,30.04,20120201
T06,169,abiurana casca fina,Pouteria retinervis,Sapotaceae,35,S,2,17.63,24.96,20120201
T06,170,iperana,Eperua bijuga,Fabaceae,35.3,C,2,16.51,27.65,20120201
T06,171,goiabao,Pradosia cochlearia,Sapotaceae,44,C,2,21.53,29.49,20120201
T06,172,jutai-mirim,Hymenaea parvifolia,Fabaceae,40.5,C,2,25.12,32.13,20120201
T06,173,jutai-pororoca,Dialium guianense,Fabaceae,42,C,2,20.93,30.53,20120201
T06,174,jatoba,Hymenaea courbaril,Fabaceae,38.6,C,2,25.05,39.68,20120201
T06,175,jatereu,Lecythis idatimon,Lecythidaceae,39.3,S,2,17.76,26.22,20120201
T06,176,barrote,Tetragastris altissima,Burseraceae,45,S,2,21.5,27.27,20120201
T06,177,seringarana,Micrandra minor,Euphorbiaceae,41,C,2,27.98,33.68,20120201
T06,178,abiurana,Pouteria gongrijpii,Sapotaceae,60.7,C,2,31.32,38.09,20120201
T06,179,mato,NA,NA,43.8,C,2,24.78,29.55,20120201
T06,180,iperana,Eperua bijuga,Fabaceae,41.5,C,2,15.34,21.22,20120201
T06,181,abiurana branca,Pouteria guianensis,Sapotaceae,49.9,C,2,25.12,30.45,20120201
T06,182,abiurana,Pouteria gongrijpii,Sapotaceae,37.3,C,2,23.01,31.18,20120201
T06,183,ucuuba,Virola michelii,Myristicaceae,44.4,C,2,26.49,34.48,20120201
T06,184,breu barrote,Tetragastris panamensis,Burseraceae,45,S,2,20.1,28.89,20120201
T06,185,pau-jacare,Laetia procera,Salicaceae,37.5,C,2,23.63,29.72,20120201
T06,186,breu barrote,Tetragastris panamensis,Burseraceae,43.9,S,2,21.07,29.72,20120201
T06,187,fava orelha-de-macaco,Enterolobium schomburgkii,Fabaceae,73.3,C,2,24.46,37.66,20120201
T06,188,tauari,Couratari stellata,Lecythidaceae,55,C,2,35.26,40.36,20120201
T06,189,abiurana,Pouteria gongrijpii,Sapotaceae,56,C,2,31.69,44.39,20120201
T06,190,parajuba,Manilkara bidentata,Sapotaceae,39.8,S,2,26.63,31.35,20120201
T06,191,uxi,Endopleura uchi,Humiriaceae,37.5,S,2,23.62,29.66,20120201
T07,1,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,E,1,25.53,39,20120209
T07,2,casca seca,Licania canescens,Chrysobalanaceae,43,S,2,18.53,32.61,20120209
T07,6,tanibuca,Terminalia amazonia,Combretaceae,55,E,1,36.23,43.06,20120209
T07,24,carapanauba,Aspidosperma excelsum,Apocynaceae,92.1,E,1,29.29,40.44,20120209
T07,25,uxi,Endopleura uchi,Humiriaceae,74.7,E,1,27.36,42.22,20120209
T07,26,abiurana,Pouteria gongrijpii,Sapotaceae,42.3,S,2,21.13,35.91,20120209
T07,27,louro,Ocotea canaliculata,Lauraceae,40.2,C,2,20.8,36.83,20120209
T07,30,louro vermelho,Sextonia rubra,Lauraceae,87.6,E,1,30.34,50.14,20120209
T07,34,matamata,Eschweilera amazonica,Lecythidaceae,38.9,S,1,18.12,29.42,20120209
T07,37,matamata,Eschweilera parviflora,Lecythidaceae,36.7,C,1,10.65,20.33,20120209
T07,40,joao-mole,Neea oppositifolia,Nyctaginaceae,55,E,1,25.59,41.59,20120209
T07,42,tachi branco,Tachigali paniculata,Fabaceae,37.2,E,1,17.23,29,20120209
T07,51,matamata,Eschweilera amazonica,Lecythidaceae,58.8,C,1,17.67,30.22,20120209
T07,53,uxi,Endopleura uchi,Humiriaceae,89.8,E,1,28.68,39.47,20120209
T07,60,barrote,Tetragastris altissima,Burseraceae,47,C,1,13.08,31.86,20120209
T07,62,ucurana,Sloanea guianensis,Elaeocarpaceae,70,E,1,13.98,23.11,20120209
T07,65,uxirana,Sacoglottis guianensis,Humiriaceae,42.5,C,1,12.07,15.27,20120209
T07,67,mapatirana,Pourouma villosa,Urticaceae,39.8,C,1,15.95,27.41,20120209
T07,72,pau-jacare,Laetia procera,Salicaceae,64.2,E,1,29.35,37.16,20120209
T07,73,caramuxi,Pouteria hispida,Sapotaceae,54.1,E,1,23.84,35.95,20120209
T07,75,matamata,Eschweilera parviflora,Lecythidaceae,49.4,C,1,18.69,29.42,20120209
T07,76,macaranduba,Manilkara huberi,Sapotaceae,82.2,E,1,36.88,45.73,20120209
T07,77,piquia,Caryocar villosum,Caryocaraceae,150.7,C,1,24.01,36.63,20120209
T07,92,matamata,Eschweilera amazonica,Lecythidaceae,49.5,C,1,15.96,29.26,20120209
T07,93,macucu,Licania guianensis,Chrysobalanaceae,37.8,C,1,30.34,43.68,20120209
T07,94,inga,Inga marginata,Fabaceae,80,E,1,22.4,39.01,20120209
T07,96,abiurana,Pouteria gongrijpii,Sapotaceae,35.8,S,1,8.77,16.51,20120209
T07,106,jatereu,Lecythis idatimon,Lecythidaceae,40.5,S,1,32.68,37.78,20120209
T07,107,guajara,Pouteria sp.,Sapotaceae,54.8,E,1,31.28,47.88,20120209
T07,109,merauba,Mouriri collocarpa,Melastomataceae,41.2,S,1,22.3,33.41,20120209
T07,113,muiratinga,Maquira coriacea,Moraceae,43.6,C,1,24.67,40.74,20120209
T07,114,abiurana,Pouteria gongrijpii,Sapotaceae,47.9,C,1,25.16,43.02,20120209
T07,115,carapanauba,Aspidosperma excelsum,Apocynaceae,91,E,1,30.22,46.63,20120209
T07,119,casca seca,Licania canescens,Chrysobalanaceae,62.4,C,1,16.86,31.95,20120209
T07,120,morta,NA,NA,82.1,NA,NA,NA,9.7,20120209
T07,121,anani,Symphonia globulifera,Clusiaceae,46.1,C,1,19.14,35,20120209
T07,122,macaranduba,Manilkara huberi,Sapotaceae,87.8,E,1,29.06,43.14,20120209
T07,125,inga,Inga marginata,Fabaceae,44.1,E,1,19.74,38.76,20120209
T07,126,angelim amarelo,Hymenolobium heterocarpum,Fabaceae,55,E,1,15.98,30.07,20120209
T07,132,seringueira,Hevea brasiliensis,Euphorbiaceae,64.6,E,1,20.7,32.29,20120209
T07,133,matamata,Eschweilera amazonica,Lecythidaceae,35.5,S,2,14.12,29.14,20120209
T07,142,parajuba,Manilkara bidentata,Sapotaceae,56.4,S,1,23.49,35.03,20120209
T07,146,muirapiranga,Brosimum rubescens,Moraceae,46.1,E,1,25.29,39.96,20120209
T07,147,piquia,Caryocar villosum,Caryocaraceae,61.5,S,1,26.77,41.13,20120209
T07,148,matamata,Eschweilera amazonica,Lecythidaceae,56.6,C,1,30.58,39.26,20120209
T07,149,maracatiara,Astronium graveolens,Anacardiaceae,60.5,C,1,33.91,49.86,20120209
T07,151,abiurana,Pouteria gongrijpii,Sapotaceae,36.6,C,1,15.87,24.74,20120209
T07,153,copaiba,Copaifera reticulata,Fabaceae,42.3,C,2,17.01,24.65,20120209
T07,154,casca seca,Licania canescens,Chrysobalanaceae,47.4,C,2,19.96,29.33,20120209
T07,155,macucu,Licania guianensis,Chrysobalanaceae,39,C,2,24.08,36.76,20120209
T07,156,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,35.5,C,2,15.89,21.04,20120209
T07,157,matamata preto,Eschweilera ovata,Lecythidaceae,43,C,2,15.84,20.98,20120209
T07,158,abiurana branca,Pouteria guianensis,Sapotaceae,35.7,C,2,14.67,29.44,20120209
T07,159,jatereu,Lecythis idatimon,Lecythidaceae,43,C,2,18.5,32.1,20120209
T07,160,morta,NA,NA,36.3,NA,NA,NA,4.41,20120209
T07,161,caramuxi,Pouteria hispida,Sapotaceae,40.5,C,2,19.15,31.11,20120209
T07,162,manguerana,Tovomita sp.,Clusiaceae,39.6,S,2,18.45,35.7,20120209
T07,163,matamata branco,Eschweilera coriacea,Lecythidaceae,50,C,2,15.79,34.49,20120209
T07,164,caramuxi,Pouteria hispida,Sapotaceae,45.5,C,2,23.88,31.64,20120209
T07,165,pau-jacare,Laetia procera,Salicaceae,45.4,C,2,21.51,33.53,20120209
T07,166,jatereu,Lecythis idatimon,Lecythidaceae,41.6,C,2,19.15,28.97,20120209
T07,167,jaranucu,Lecythis sp.,Lecythidaceae,38,C,2,22.94,32.58,20120209
T07,168,parajuba,Manilkara bidentata,Sapotaceae,57.5,C,2,26.64,37.71,20120209
T07,169,caramuxi,Pouteria hispida,Sapotaceae,41.5,C,2,24.34,34.79,20120209
T07,170,morta,NA,NA,58.7,NA,NA,NA,23.7,20120209
T07,171,matamata preto,Eschweilera ovata,Lecythidaceae,44.7,C,2,27.37,38.7,20120209
T07,172,macaranduba,Manilkara huberi,Sapotaceae,64,C,2,24.64,37.26,20120209
T07,173,jutai-mirim,Hymenaea parvifolia,Fabaceae,60.5,C,2,34.97,46.11,20120209
T07,174,breu barrote,Tetragastris panamensis,Burseraceae,37.7,C,2,16.79,30.35,20120209
T07,175,abiurana casca fina,Pouteria retinervis,Sapotaceae,36.5,C,2,21.04,31.2,20120209
T07,176,parajuba,Manilkara bidentata,Sapotaceae,36.5,C,2,22.61,29.76,20120209
T07,177,envira-cana,Xylopia nitida,Annonaceae,42.6,C,2,28.84,37.88,20120209
T07,178,matamata branco,Eschweilera coriacea,Lecythidaceae,44.5,C,2,19.18,28.04,20120209
T07,179,breu barrote,Tetragastris panamensis,Burseraceae,40,C,2,18.48,29.67,20120209
T07,180,morta,NA,NA,51.5,NA,NA,NA,2.8,20120209
T07,181,roxinho,Peltogyne lecointei,Fabaceae,52,C,2,24.33,40.21,20120209
T07,182,matamata branco,Eschweilera coriacea,Lecythidaceae,42,C,2,16.12,23.73,20120209
T07,183,freijo branco,Cordia scabrifolia,Boraginaceae,46.8,C,2,26.41,34.77,20120209
T07,184,matamata branco,Eschweilera coriacea,Lecythidaceae,45.2,C,2,19.04,31.34,20120209
T07,185,caqui,Diospyros guianensis,Ebenaceae,37.4,C,2,8.93,15.57,20120209
T07,186,morta,NA,NA,75.3,NA,NA,NA,11.84,20120209
T08,13,tachi preto,Tachigali myrmecophila,Fabaceae,55,E,1,24.39,41.72,20120206
T08,17,caramuxi,Pouteria hispida,Sapotaceae,41.6,C,1,21,34.62,20120206
T08,18,matamata,Eschweilera parviflora,Lecythidaceae,60.6,C,1,30.93,43.02,20120206
T08,21,goiabao,Pradosia cochlearia,Sapotaceae,58.4,S,1,23.95,48.23,20120206
T08,24,guajara,Pouteria sp.,Sapotaceae,58,C,1,30.34,46.81,20120206
T08,25,abiurana,Pouteria gongrijpii,Sapotaceae,50,C,1,21.92,37.32,20120206
T08,26,macaranduba,Manilkara huberi,Sapotaceae,52.5,C,1,19.87,35.52,20120206
T08,31,angelim vermelho,Dinizia excelsa,Fabaceae,151,E,1,30.2,47.11,20120206
T08,40,fava orelha-de-macaco,Enterolobium schomburgkii,Fabaceae,55,E,1,30.93,47.73,20120206
T08,46,matamata,Eschweilera amazonica,Lecythidaceae,35.6,S,1,16.62,26.98,20120206
T08,63,matamata,Eschweilera parviflora,Lecythidaceae,41.7,C,2,20.36,31.17,20120206
T08,71,jarana,Lecythis lurida,Lecythidaceae,83.7,E,1,32.81,44.39,20120206
T08,72,seringueira,Hevea brasiliensis,Euphorbiaceae,76.8,E,1,38.2,53.07,20120206
T08,73,abiurana,Pouteria gongrijpii,Sapotaceae,60.3,C,1,17.3,23.27,20120206
T08,75,envira-cana,Xylopia nitida,Annonaceae,44.5,C,1,18.84,36.67,20120206
T08,77,matamata,Eschweilera amazonica,Lecythidaceae,59.5,E,1,20.71,34.19,20120206
T08,80,matamata,Eschweilera amazonica,Lecythidaceae,35,S,1,16.35,26.55,20120206
T08,83,morta,NA,NA,51,NA,NA,NA,5.78,20120206
T08,86,abiurana,Pouteria gongrijpii,Sapotaceae,48,E,1,29.52,41.14,20120206
T08,90,uxi,Endopleura uchi,Humiriaceae,53.2,S,1,18.78,28.29,20120206
T08,94,andirobarana,Guarea guidonia,Meliaceae,38.6,S,2,11.45,24.52,20120206
T08,96,abiurana,Pouteria gongrijpii,Sapotaceae,55,C,2,25.58,40.37,20120206
T08,97,inhare,Helicostylis sp.,Moraceae,44.2,C,2,26.5,42.26,20120206
T08,100,uxi,Endopleura uchi,Humiriaceae,70.6,E,1,25.09,40.91,20120206
T08,102,morta,NA,NA,36.7,NA,NA,NA,35.39,20120206
T08,107,breu branco,Protium paniculatum,Burseraceae,37.2,S,2,19.27,27.31,20120206
T08,112,barrote,Tetragastris altissima,Burseraceae,49.3,S,2,27.92,38.24,20120206
T08,114,abiu cutite,NA,NA,50.2,S,1,20.22,33.43,20120206
T08,117,escorrega-macaco,Capirona decorticans,Rubiaceae,82,E,1,29.26,43.63,20120206
T08,120,tachi,Tachigali myrmecophila,Fabaceae,60,E,1,30.45,48.23,20120206
T08,124,matamata,Eschweilera amazonica,Lecythidaceae,36.8,S,1,14.61,25.51,20120206
T08,126,cupiuba,Goupia glabra,Goupiaceae,62.6,E,1,16.19,29.98,20120206
T08,133,abiurana,Pouteria gongrijpii,Sapotaceae,51.5,C,1,24.71,37.23,20120206
T08,134,seringarana,Micrandra minor,Euphorbiaceae,69,C,1,26.77,38.54,20120206
T08,139,matamata,Eschweilera parviflora,Lecythidaceae,35.3,C,1,15.92,26.91,20120206
T08,140,matamata,Eschweilera amazonica,Lecythidaceae,48.5,S,2,17.74,33.37,20120206
T08,141,matamata,Eschweilera amazonica,Lecythidaceae,51,S,3,16.8,35.56,20120206
T08,145,matamata,Eschweilera amazonica,Lecythidaceae,38.1,C,1,21.51,39.99,20120206
T08,147,ingarana,Inga sp.,Fabaceae,41,S,3,12.67,22.98,20120206
T08,150,tachi,Tachigali myrmecophila,Fabaceae,93.6,S,2,27.98,41.32,20120206
T08,153,matamata,Eschweilera parviflora,Lecythidaceae,57.5,C,1,27.52,45.28,20120206
T08,156,tachirana,Stryphnodendron paniculatum,Fabaceae,84.7,E,1,34.5,53.24,20120206
T08,158,matamata,Eschweilera amazonica,Lecythidaceae,54.1,S,3,19.73,41.5,20120206
T08,167,tachi preto,Tachigali myrmecophila,Fabaceae,95.6,E,1,27.44,48.84,20120206
T08,183,jatoba,Hymenaea courbaril,Fabaceae,50.2,C,2,17.59,26.63,20120206
T08,184,matamata branco,Eschweilera coriacea,Lecythidaceae,47.3,C,2,20.97,42.4,20120206
T08,185,mapatirana,Pourouma villosa,Urticaceae,52.3,C,2,31.57,43.37,20120206
T08,186,envira preta,Guatteria schomburgkiana,Annonaceae,39.8,C,2,23.54,36.94,20120206
T08,187,macucu-de-sangue,Licania heteromorpha,Chrysobalanaceae,46.5,C,2,25.25,31.77,20120206
T08,188,abiurana,Pouteria gongrijpii,Sapotaceae,54,C,2,24.3,33.61,20120206
T08,189,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,61.8,C,2,27.43,39.17,20120206
T08,190,ucuuba,Virola michelii,Myristicaceae,43.8,S,2,16.14,27.44,20120206
T08,191,uxi,Endopleura uchi,Humiriaceae,66.8,C,2,17.99,33.67,20120206
T08,192,morta,NA,NA,42.3,NA,NA,NA,5.68,20120206
T08,193,abiurana casca fina,Pouteria retinervis,Sapotaceae,35,C,2,22.35,32.54,20120206
T08,194,breu barrote,Tetragastris panamensis,Burseraceae,45.3,C,2,19.54,27.53,20120206
T08,195,abiurana casca fina,Pouteria retinervis,Sapotaceae,37.5,C,2,24.34,33.81,20120206
T08,196,macaranduba,Manilkara huberi,Sapotaceae,54.3,C,2,26.26,36.68,20120206
T08,197,matamata branco,Eschweilera coriacea,Lecythidaceae,53.7,C,2,27.16,37.35,20120206
T08,198,matamata preto,Eschweilera ovata,Lecythidaceae,53,C,2,29.69,39.45,20120206
T08,199,ucurana,Sloanea guianensis,Elaeocarpaceae,50,C,2,22.56,31.77,20120206
T08,200,matamata branco,Eschweilera coriacea,Lecythidaceae,38,C,2,22.45,29.88,20120206
T08,201,tachi preto,Tachigali myrmecophila,Fabaceae,41.5,C,2,17.9,31.8,20120206
T08,202,caramuxi,Pouteria hispida,Sapotaceae,40.8,C,2,21.21,37.26,20120206
T08,203,matamata preto,Eschweilera ovata,Lecythidaceae,36.8,C,2,26.83,35.52,20120206
T08,204,breu barrote,Tetragastris panamensis,Burseraceae,38.4,C,2,18.6,31.43,20120206
T09,4,barrote,Tetragastris altissima,Burseraceae,42.4,C,2,23.62,32.65,20120203
T09,6,abiurana,Pouteria gongrijpii,Sapotaceae,47.9,C,1,21.15,27.12,20120203
T09,7,morta,NA,NA,48.6,NA,NA,NA,2.14,20120203
T09,8,breu vermelho,Protium hebetatum,Burseraceae,63.7,C,1,26.4,38.09,20120203
T09,10,tento,Ormosia coccinea,Fabaceae,57,NA,NA,3.89,5.79,20120203
T09,13,abiurana,Pouteria gongrijpii,Sapotaceae,75,E,1,18.44,31.04,20120203
T09,14,iperana,Eperua bijuga,Fabaceae,51.2,C,1,20.45,31.87,20120203
T09,15,uxirana,Sacoglottis guianensis,Humiriaceae,52.7,C,1,19.9,34.52,20120203
T09,23,matamata,Eschweilera parviflora,Lecythidaceae,36.2,S,2,10.82,15.63,20120203
T09,25,morta,NA,NA,41.8,NA,NA,NA,18.33,20120203
T09,26,abiurana,Pouteria gongrijpii,Sapotaceae,51.7,C,1,22.48,34.41,20120203
T09,30,abiurana,Pouteria gongrijpii,Sapotaceae,35.8,C,1,22.56,31.35,20120203
T09,31,jarana,Lecythis lurida,Lecythidaceae,92,S,1,25.97,35.29,20120203
T09,32,abiurana,Pouteria gongrijpii,Sapotaceae,44.7,C,1,17.09,35.99,20120203
T09,34,barrote,Tetragastris altissima,Burseraceae,59.8,C,1,27.18,36.95,20120203
T09,37,matamata,Eschweilera parviflora,Lecythidaceae,45,S,2,19.86,28.97,20120203
T09,40,abiu cutite,NA,NA,58.4,C,1,24.43,36.95,20120203
T09,41,abiurana,Pouteria gongrijpii,Sapotaceae,99,S,3,11.15,14.39,20120203
T09,44,castanha-sapucaia,Lecythis pisonis,Lecythidaceae,109.8,E,1,37.2,50.87,20120203
T09,49,caramuxi,Pouteria hispida,Sapotaceae,51.1,E,1,33.17,40.8,20120203
T09,50,abiu cutite,NA,NA,50.4,C,1,21.64,30.06,20120203
T09,59,murta,Strychnos subcordata,Loganiaceae,40,S,2,18.89,31.57,20120203
T09,60,itauba,Mezilaurus itauba,Lauraceae,84,S,2,5.78,8.85,20120203
T09,62,seringueira,Hevea brasiliensis,Euphorbiaceae,54.6,E,1,28.37,37.58,20120203
T09,63,abiurana,Pouteria gongrijpii,Sapotaceae,85.8,E,1,30.61,50.03,20120203
T09,65,uxirana,Sacoglottis guianensis,Humiriaceae,43.9,C,1,28.01,45.22,20120203
T09,66,abiurana,Pouteria gongrijpii,Sapotaceae,69.9,C,1,28.58,42.27,20120203
T09,68,abiurana,Pouteria gongrijpii,Sapotaceae,49.7,S,2,26.76,37.89,20120203
T09,69,macaranduba,Manilkara huberi,Sapotaceae,78.5,E,1,17.55,30.01,20120203
T09,73,coco-pau,Couepia robusta,Chrysobalanaceae,65.3,C,1,31.14,38.54,20120203
T09,77,ingarana,Inga sp.,Fabaceae,38.4,S,2,17.89,31.2,20120203
T09,79,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,S,3,17.99,28.79,20120203
T09,81,morta,NA,NA,44.6,NA,NA,NA,20.07,20120203
T09,83,guajara,Pouteria sp.,Sapotaceae,70,E,1,31.21,47.19,20120203
T09,85,uxirana,Sacoglottis guianensis,Humiriaceae,71,S,2,8.42,11.62,20120203
T09,89,guajara,Pouteria sp.,Sapotaceae,55,E,1,31.52,48.65,20120203
T09,92,guajara peludo,Pouteria sp.,Sapotaceae,62,E,1,12.73,22.87,20120203
T09,96,mapatirana,Pourouma villosa,Urticaceae,50.2,E,1,15.26,24.84,20120203
T09,98,caramuxi,Pouteria hispida,Sapotaceae,55,S,2,5.07,6.56,20120203
T09,100,jarana,Lecythis lurida,Lecythidaceae,41.7,C,1,13.66,22.49,20120203
T09,101,mato,NA,NA,147,S,2,15.81,20.93,20120203
